scenario,role,rank,player_id,player_name,covered,provider_structural_missingness_confirmed
observed,GK,1,182718,J. Garcia,True,False
observed,GK,2,49866,U. Cakir,True,False
observed,GK,3,129058,B. Verbruggen,True,False
observed,GK,4,732,L. Zidane,True,False
observed,GK,5,138804,M. Kovar,True,False
observed,GK,6,22221,M. Maignan,True,False
observed,GK,7,369,D. Costa,True,False
observed,GK,8,497,M. Neuer,True,False
observed,GK,9,46417,S. Chaine,True,False
observed,GK,10,47296,G. Rulli,True,False
observed,GK,11,269349,L. Hornicek,True,False
observed,GK,12,280,Alisson,True,False
observed,GK,13,353883,P. Beach,True,False
observed,GK,14,2986,E. Mendy,True,False
observed,GK,15,1142,Y. Mvogo,True,False
observed,GK,16,702,O. Baumann,True,False
observed,GK,17,2482,C. Vargas,True,False
observed,GK,18,2892,Kim Seung-Gyu,True,False
observed,GK,19,119853,M. Diaw,True,False
observed,GK,20,20566,Y. Diouf,True,False
observed,GK,21,194536,R. Roefs,True,False
observed,GK,22,524,D. Kotarski,True,False
observed,GK,23,46245,R. Goss,True,False
observed,GK,24,221605,F. Wiegele,True,False
observed,GK,25,6870,P. Izzo,True,False
observed,GK,26,64190,Y. Fofana,True,False
observed,GK,27,340151,M. Penders,True,False
observed,GK,28,3275,R. Williams,True,False
observed,GK,29,26232,M. Flekken,True,False
observed,GK,30,19088,D. Henderson,True,False
observed,RB,1,271539,J. Hadjam,True,False
observed,RB,2,25158,D. Raum,True,False
observed,RB,3,6002,E. Palacios,True,False
observed,RB,4,2869,E. Alvarez,True,False
observed,RB,5,41552,P. Ciss,True,False
observed,RB,6,9,A. Hakimi,True,False
observed,RB,7,390002,M. Chavez Garcia,True,False
observed,RB,8,38735,S. Dest,True,False
observed,RB,9,355994,A. Freeman,True,False
observed,RB,10,359561,K. Sebelebele,True,False
observed,RB,11,502,J. Kimmich,True,False
observed,RB,12,47519,P. Porro,True,False
observed,RB,13,1257,J. Kounde,True,False
observed,RB,14,195992,J. Caceres,True,False
observed,RB,15,1231,V. Coufal,True,False
observed,RB,16,81,K. Diatta,True,False
observed,RB,17,1117,K. Tierney,True,False
observed,RB,18,153622,K. Trewin,True,False
observed,RB,19,19545,R. James,True,False
observed,RB,20,39058,F. Bjorkan,True,False
observed,RB,21,161747,G. Doue,True,False
observed,RB,22,1719,M. Muldur,True,False
observed,RB,23,2975,C. Blackman,False,True
observed,RB,24,283252,Z. El Ouahdi,True,False
observed,RB,25,41621,M. Nunes,True,False
observed,RB,26,134995,N. Boushal,True,False
observed,RB,27,48489,M. Muheim,True,False
observed,RB,28,44367,A. Majrashi,True,False
observed,RB,29,353808,D. Fonville,True,False
observed,RB,30,161907,M. Gusto,True,False
observed,RCB,1,69,B. Mechele,True,False
observed,RCB,2,265595,G. Inacio,True,False
observed,RCB,3,318,K. Koulibaly,True,False
observed,RCB,4,20995,M. Lacroix,True,False
observed,RCB,5,2897,Kim Min-Jae,True,False
observed,RCB,6,61837,A. Bardakci,True,False
observed,RCB,7,22224,Gabriel,True,False
observed,RCB,8,290,V. van Dijk,True,False
observed,RCB,9,266345,E. Lira,True,False
observed,RCB,10,30776,C. Romero,True,False
observed,RCB,11,1149,D. Upamecano,True,False
observed,RCB,12,38695,J. P. van Hecke,True,False
observed,RCB,13,295793,M. Pubill,True,False
observed,RCB,14,2532,B. Khoukhi,True,False
observed,RCB,15,25287,K. Danso,True,False
observed,RCB,16,396623,P. Cubarsi,True,False
observed,RCB,17,161939,T. Araujo,True,False
observed,RCB,18,31,J. M. Gimenez,True,False
observed,RCB,19,16804,Y. Ibrahim,True,False
observed,RCB,20,312964,N. Ngoy,True,False
observed,RCB,21,101814,R. Araujo,True,False
observed,RCB,22,375,C. Mbemba,True,False
observed,RCB,23,257,Marquinhos,True,False
observed,RCB,24,567,R. Dias,True,False
observed,RCB,25,44507,A. Lajami,True,False
observed,RCB,26,162964,R. Hranac,True,False
observed,RCB,27,30521,M. Demiral,True,False
observed,RCB,28,626,J. Stones,True,False
observed,RCB,29,18814,I. Diop,True,False
observed,LCB,1,624,N. Otamendi,True,False
observed,LCB,2,2194,R. Bensebaini,True,False
observed,LCB,3,16367,W. Pacho,True,False
observed,LCB,4,529,N. Tagliafico,True,False
observed,LCB,5,2467,L. Martinez,True,False
observed,LCB,6,30424,Ibanez,True,False
observed,LCB,7,972,J. Tah,True,False
observed,LCB,8,152849,M. van de Ven,True,False
observed,LCB,9,129033,J. Gvardiol,True,False
observed,LCB,10,20836,C. Operi,True,False
observed,LCB,11,278898,C. Riad,True,False
observed,LB,1,263482,N. Mendes,True,False
observed,LB,2,21138,R. Ait-Nouri,True,False
observed,LB,3,46334,A. Modiba,True,False
observed,LB,4,51776,M. Araujo,True,False
observed,LB,5,21098,J. Kayembe,True,False
observed,LB,6,19549,A. Robinson,True,False
observed,LB,7,307123,N. O'Reilly,True,False
observed,LB,8,375974,J. Seys,True,False
