combination_id,role,slot,player_id,player_name,world_cup_team,overall,uncertainty,minutes_num,provider_structural_missingness_confirmed
real_xi_set_01,GK,GK,182718,J. Garcia,Spain,0.809506995311787,0.0733423885081944,4049.0,False
real_xi_set_01,RCB,CB1,69,B. Mechele,Belgium,0.7073087044532894,0.0642870696522883,5270.0,False
real_xi_set_01,LCB,CB2,624,N. Otamendi,Argentina,0.7100013786997497,0.0716460780479048,4243.0,False
real_xi_set_01,RB,FB1,25158,D. Raum,Germany,0.6677485732012052,0.0847827742638868,3030.0,False
real_xi_set_01,LB,FB2,263482,N. Mendes,Portugal,0.7103090167412799,0.0801428980321012,3391.0,False
real_xi_set_01,DM,DM,44,Rodri,Spain,0.6861275926502921,0.0880234760575071,2811.0,False
real_xi_set_01,CM,CM,19617,M. Olise,France,0.8102143473077419,0.0690427941176097,4569.0,False
real_xi_set_01,AM,AM,6005,J. Quintero,Colombia,0.7829120220261333,0.1046696441497659,1988.0,False
real_xi_set_01,RW,W1,154,L. Messi,Argentina,0.8327019832961582,0.0753707580810284,3834.0,False
real_xi_set_01,LW,W2,909,M. Rashford,England,0.683823961586197,0.0878829008130657,2820.0,False
real_xi_set_01,ST,ST,153,O. Dembele,France,0.7411214479612049,0.0887687119753338,2764.0,False
real_xi_set_02,GK,GK,182718,J. Garcia,Spain,0.809506995311787,0.0733423885081944,4049.0,False
real_xi_set_02,RCB,CB1,69,B. Mechele,Belgium,0.7073087044532894,0.0642870696522883,5270.0,False
real_xi_set_02,LCB,CB2,624,N. Otamendi,Argentina,0.7100013786997497,0.0716460780479048,4243.0,False
real_xi_set_02,RB,FB1,25158,D. Raum,Germany,0.6677485732012052,0.0847827742638868,3030.0,False
real_xi_set_02,LB,FB2,263482,N. Mendes,Portugal,0.7103090167412799,0.0801428980321012,3391.0,False
real_xi_set_02,DM,DM,44,Rodri,Spain,0.6861275926502921,0.0880234760575071,2811.0,False
real_xi_set_02,CM,CM,19617,M. Olise,France,0.8102143473077419,0.0690427941176097,4569.0,False
real_xi_set_02,AM,AM,113580,W. Semedo,Cape Verde Islands,0.5609815709763251,0.1193117518002608,1530.0,True
real_xi_set_02,RW,W1,154,L. Messi,Argentina,0.8327019832961582,0.0753707580810284,3834.0,False
real_xi_set_02,LW,W2,909,M. Rashford,England,0.683823961586197,0.0878829008130657,2820.0,False
real_xi_set_02,ST,ST,153,O. Dembele,France,0.7411214479612049,0.0887687119753338,2764.0,False
real_xi_set_03,GK,GK,182718,J. Garcia,Spain,0.809506995311787,0.0733423885081944,4049.0,False
real_xi_set_03,RCB,CB1,69,B. Mechele,Belgium,0.7073087044532894,0.0642870696522883,5270.0,False
real_xi_set_03,LCB,CB2,624,N. Otamendi,Argentina,0.7100013786997497,0.0716460780479048,4243.0,False
real_xi_set_03,RB,FB1,271539,J. Hadjam,Algeria,0.745403673407056,0.1061208458284146,1934.0,False
real_xi_set_03,LB,FB2,263482,N. Mendes,Portugal,0.7103090167412799,0.0801428980321012,3391.0,False
real_xi_set_03,DM,DM,44,Rodri,Spain,0.6861275926502921,0.0880234760575071,2811.0,False
real_xi_set_03,CM,CM,19617,M. Olise,France,0.8102143473077419,0.0690427941176097,4569.0,False
real_xi_set_03,AM,AM,6005,J. Quintero,Colombia,0.7829120220261333,0.1046696441497659,1988.0,False
real_xi_set_03,RW,W1,154,L. Messi,Argentina,0.8327019832961582,0.0753707580810284,3834.0,False
real_xi_set_03,LW,W2,909,M. Rashford,England,0.683823961586197,0.0878829008130657,2820.0,False
real_xi_set_03,ST,ST,153,O. Dembele,France,0.7411214479612049,0.0887687119753338,2764.0,False
real_xi_set_04,GK,GK,182718,J. Garcia,Spain,0.809506995311787,0.0733423885081944,4049.0,False
real_xi_set_04,RCB,CB1,69,B. Mechele,Belgium,0.7073087044532894,0.0642870696522883,5270.0,False
real_xi_set_04,LCB,CB2,624,N. Otamendi,Argentina,0.7100013786997497,0.0716460780479048,4243.0,False
real_xi_set_04,RB,FB1,271539,J. Hadjam,Algeria,0.745403673407056,0.1061208458284146,1934.0,False
real_xi_set_04,LB,FB2,263482,N. Mendes,Portugal,0.7103090167412799,0.0801428980321012,3391.0,False
real_xi_set_04,DM,DM,44,Rodri,Spain,0.6861275926502921,0.0880234760575071,2811.0,False
real_xi_set_04,CM,CM,19617,M. Olise,France,0.8102143473077419,0.0690427941176097,4569.0,False
real_xi_set_04,AM,AM,113580,W. Semedo,Cape Verde Islands,0.5609815709763251,0.1193117518002608,1530.0,True
real_xi_set_04,RW,W1,154,L. Messi,Argentina,0.8327019832961582,0.0753707580810284,3834.0,False
real_xi_set_04,LW,W2,909,M. Rashford,England,0.683823961586197,0.0878829008130657,2820.0,False
