path,kind,rows,columns,has_player_id,has_fixture_id,has_minutes
data/audits/adaptive_player_coverage.csv,player_candidate,1062,player_id | player_name | detailed_fixtures | detailed_minutes | current_window_fixtures | pre_world_cup_fixtures | provider_position_rate | passes_rate | has_lineup_evidence | world_cup_team | squad_position | reported_minutes | benchmark_precheck,True,False,True
data/audits/adaptive_unsupported_fixtures.csv,other,385,fixture_id | league_id | league_name | season | target_players | reason,False,True,False
data/audits/annual_competition_coverage.csv,other,228,league_id | league_name | league_type | country | season | coverage_events | coverage_lineups | coverage_fixture_statistics | coverage_player_statistics | coverage_players | coverage_injuries | coverage_predictions | coverage_odds | coverage_standings | season_start | season_end,False,False,False
data/audits/annual_competition_weighted_coverage.csv,other,228,league_id | season | league_name | league_type | country | usable_detailed | players | reported_minutes,False,False,False
data/audits/annual_player_competitions.csv,player_candidate,8215,player_id | player_name | world_cup_team_id | world_cup_team | squad_position | age | number | profile_name | season_query | season | team_id | team_name | league_id | league_name | league_country | appearances | lineups | minutes | provider_position | provider_rating,True,False,True
data/audits/annual_player_coverage.csv,player_candidate,1248,player_id | player_name | world_cup_team_id | world_cup_team | squad_position | age | number | has_2025_statistics | has_2026_statistics | failed_2025_query | failed_2026_query | competition_stat_lines | reported_minutes_across_lines,True,False,False
data/audits/annual_player_precheck.csv,player_candidate,1248,player_id | player_name | world_cup_team_id | world_cup_team | squad_position | age | number | has_2025_statistics | has_2026_statistics | failed_2025_query | failed_2026_query | competition_stat_lines | reported_minutes_across_lines | has_any_statistics | has_both_seasons | reported_minutes | detailed_match_minutes | detailed_minutes_share | rank_entry_precheck | benchmark_precheck,True,False,False
data/audits/annual_players_without_statistics.csv,player_candidate,11,player_id | player_name | world_cup_team | squad_position | age,True,False,False
data/audits/annual_position_weighted_coverage.csv,other,4,squad_position | players | players_with_any_statistics | players_with_both_seasons | player_any_statistics_rate | player_both_seasons_rate | reported_minutes | detailed_match_minutes | detailed_minutes_share,False,False,False
data/audits/annual_team_weighted_coverage.csv,other,48,world_cup_team | players | players_with_any_statistics | players_with_both_seasons | player_any_statistics_rate | player_both_seasons_rate | reported_minutes | detailed_match_minutes | detailed_minutes_share,False,False,False
