player_id,player_name,world_cup_team,squad_position,reported_minutes,benchmark_precheck,window,expected_official_fixtures,processed_fixture_endpoints,fixture_endpoint_coverage,missing_fixture_endpoints,detailed_appearance_fixtures,detailed_minutes,aggregate_reported_minutes,minute_reconciliation_ratio_raw,minute_reconciliation_ratio_clipped,coverage_pass_80pct,denominator_note,reconciled_detailed_appearance_fixtures,reconciled_detailed_minutes,original_detailed_minutes,original_coverage_pass_80pct,recovered_minutes,pass_changed_false_to_true
5,M. Akanji,Switzerland,Defender,4981.0,True,annual_current,98,98,1.0,0,58,4307.0,4981.0,0.8646858060630396,0.8646858060630396,True,existing aggregate-season denominator; exact-window detailed numerator reconciled from all cached official fixture rows,58,4307.0,4307.0,True,0.0,False
5,M. Akanji,Switzerland,Defender,4981.0,True,pre_world_cup,96,96,1.0,0,56,3954.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator,56,3954.0,3954.0,True,0.0,False
9,A. Hakimi,Morocco,Defender,4466.0,True,annual_current,65,65,1.0,0,46,3641.0,4466.0,0.8152709359605911,0.8152709359605911,True,existing aggregate-season denominator; exact-window detailed numerator reconciled from all cached official fixture rows,46,3641.0,3641.0,True,0.0,False
9,A. Hakimi,Morocco,Defender,4466.0,True,pre_world_cup,66,66,1.0,0,47,3664.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator,47,3664.0,3664.0,True,0.0,False
17,C. Pulisic,USA,Midfielder,2607.0,True,annual_current,47,47,1.0,0,39,2030.0,2607.0,0.7786728039892596,0.7786728039892596,False,existing aggregate-season denominator; exact-window detailed numerator reconciled from all cached official fixture rows,39,2030.0,2030.0,False,0.0,False
17,C. Pulisic,USA,Midfielder,2607.0,True,pre_world_cup,42,42,1.0,0,35,1806.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator,35,1806.0,1806.0,True,0.0,False
20,A. Witsel,Belgium,Midfielder,2678.0,True,annual_current,44,44,1.0,0,39,2564.0,2678.0,0.9574309185959672,0.9574309185959672,True,existing aggregate-season denominator; exact-window detailed numerator reconciled from all cached official fixture rows,39,2564.0,2564.0,True,0.0,False
20,A. Witsel,Belgium,Midfielder,2678.0,True,pre_world_cup,38,38,1.0,0,33,2533.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator,33,2533.0,2533.0,True,0.0,False
30,S. Arias,Colombia,Defender,4115.0,True,annual_current,54,54,1.0,0,50,2709.0,4115.0,0.6583232077764277,0.6583232077764277,False,existing aggregate-season denominator; exact-window detailed numerator reconciled from all cached official fixture rows,50,2709.0,2709.0,False,0.0,False
30,S. Arias,Colombia,Defender,4115.0,True,pre_world_cup,53,53,1.0,0,48,2736.0,,,,True,exact fixture inventory; no independent aggregate-minute denominator,48,2736.0,2736.0,True,0.0,False
