player_id,fixture_id,window,priority_reason,selection_resolution_reason,resolved_role,reason_weight,data_weight,priority_score,date_utc,status,league_id,league_name,season,official_senior_main,provider_league_name,league_type,country,coverage_events,coverage_lineups,coverage_fixture_statistics,coverage_player_statistics,coverage_players
2514,1321725,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RW,5.0,2.0,7.0,2025-06-26T19:00:00+00:00,FT,15,FIFA Club World Cup,2025,True,FIFA Club World Cup,Cup,World,True,True,True,True,True
36579,1321725,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RW,5.0,2.0,7.0,2025-06-26T19:00:00+00:00,FT,15,FIFA Club World Cup,2025,True,FIFA Club World Cup,Cup,World,True,True,True,True,True
34418,1324142,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0,2025-06-14T09:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
304782,1324142,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0,2025-06-14T09:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
34418,1324153,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0,2025-06-21T07:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
304782,1324153,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0,2025-06-21T07:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
34418,1324162,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0,2025-06-28T09:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
304782,1324162,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0,2025-06-28T09:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
34418,1324174,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0,2025-07-05T10:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
304782,1324174,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0,2025-07-05T10:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
34418,1324182,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0,2025-07-20T09:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
34418,1324182,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0,2025-07-20T09:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
304782,1324182,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0,2025-07-20T09:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
304782,1324182,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0,2025-07-20T09:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
34418,1324202,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0,2025-08-16T09:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
34418,1324202,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0,2025-08-16T09:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
304782,1324202,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0,2025-08-16T09:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
304782,1324202,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0,2025-08-16T09:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
34418,1324216,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0,2025-08-23T10:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
34418,1324216,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0,2025-08-23T10:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
304782,1324216,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0,2025-08-23T10:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
304782,1324216,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0,2025-08-23T10:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
34418,1324227,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0,2025-08-31T09:30:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
34418,1324227,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0,2025-08-31T09:30:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
304782,1324227,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0,2025-08-31T09:30:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
304782,1324227,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0,2025-08-31T09:30:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
34418,1324242,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0,2025-09-20T10:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
34418,1324242,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0,2025-09-20T10:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
304782,1324242,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0,2025-09-20T10:00:00+00:00,FT,98,J1 League,2025,True,J1 League,League,Japan,True,True,True,True,True
