fixture_id,fixture_returned,status_short,status_elapsed,lineups_key_present,events_key_present,lineup_team_blocks,event_count,home_team_id,away_team_id,home_startxi_count,away_startxi_count
1340803,True,FT,90,True,True,2,17,2746,2762,11,11
1340809,True,FT,90,True,True,2,14,2766,2746,11,11
1340810,True,FT,90,True,True,2,18,2762,2756,11,11
1340813,True,FT,90,True,True,2,14,2750,2768,11,11
1340818,True,FT,90,True,True,2,12,2768,2748,11,11
1340821,True,FT,90,True,True,2,17,2768,2762,11,11
1340822,True,FT,90,True,True,2,16,2750,2761,11,11
1340826,True,FT,90,True,True,2,19,2766,2764,11,11
1340853,True,FT,90,True,True,2,15,2762,2747,11,11
1340854,True,FT,90,True,True,2,17,2756,2767,11,11
1340857,True,FT,90,True,True,2,18,2768,2756,11,11
1340860,True,FT,90,True,True,2,19,2766,2767,11,11
1340861,True,FT,90,True,True,2,19,2764,2762,11,11
1340862,True,FT,90,True,True,2,20,2748,2750,11,11
1340875,True,FT,90,True,True,2,22,2762,2768,11,11
1340876,True,FT,90,True,True,2,16,2750,2747,11,11
1380177,True,FT,90,True,True,2,24,2390,2402,11,11
1380183,True,FT,90,True,True,2,20,2402,2255,11,11
1380195,True,FT,90,True,True,2,25,2396,2402,11,11
1380198,True,FT,90,True,True,2,21,2410,2402,11,11
1380215,True,FT,90,True,True,2,17,2391,2402,11,11
1380217,True,FT,90,True,True,2,16,2402,651,11,11
1380222,True,FT,90,True,True,2,14,2392,2402,11,11
1380228,True,FT,90,True,True,2,18,2402,2393,11,11
1380237,True,FT,90,True,True,2,16,2394,2402,11,11
1380243,True,FT,90,True,True,2,14,2402,2390,11,11
1380250,True,FT,90,True,True,2,15,2255,2402,11,11
1380255,True,FT,90,True,True,2,15,2402,2414,11,11
1380260,True,FT,90,True,True,2,14,2402,2396,11,11
1380267,True,FT,90,True,True,2,14,2402,2410,11,11
1380274,True,FT,90,True,True,2,16,2403,2402,11,11
1380330,True,FT,90,True,True,2,18,2410,2402,11,11
1380338,True,FT,90,True,True,2,17,2402,2403,11,11
1383440,True,FT,90,True,True,2,21,375,3502,11,11
1383451,True,FT,90,True,True,2,20,3403,604,11,11
1383454,True,FT,90,True,True,2,16,604,3403,11,11
1384111,True,FT,90,True,True,2,17,10535,656,11,11
1384133,True,FT,90,True,True,2,17,656,10534,11,11
1384140,True,FT,90,True,True,2,21,3554,656,11,11
1384145,True,FT,90,True,True,2,14,656,2257,11,11
1384163,True,FT,90,True,True,2,20,1120,656,11,11
1388041,True,FT,90,True,True,2,12,566,1416,11,11
1388061,True,FT,90,True,True,2,13,634,1424,11,11
1389594,True,FT,90,True,True,2,18,4195,6186,11,11
1389645,True,FT,90,True,True,2,16,6181,4195,11,11
1389652,True,FT,90,True,True,2,17,4195,4486,11,11
1389661,True,FT,90,True,True,2,17,4488,4195,11,11
1389684,True,FT,90,True,True,2,20,6186,4195,11,11
1389732,True,FT,90,True,True,2,19,4195,6181,11,11
1389742,True,FT,90,True,True,2,11,4486,4195,11,11
1389753,True,FT,90,True,True,2,14,4195,4488,11,11
1393730,True,FT,90,True,True,2,15,2916,2896,11,11
1393731,True,FT,90,True,True,2,20,2905,2900,11,11
1393732,True,FT,90,True,True,2,20,2903,2899,11,11
1393737,True,FT,90,True,True,2,14,2903,2905,11,11
1393738,True,FT,90,True,True,2,23,2916,2897,11,11
1393741,True,FT,90,True,True,2,17,2897,2904,11,11
1393743,True,FT,90,True,True,2,16,2905,2899,11,11
1393744,True,FT,90,True,True,2,14,2893,2900,11,11
1393745,True,FT,90,True,True,2,17,2898,2916,11,11
1393749,True,FT,90,True,True,2,13,2903,2898,11,11
1393750,True,FT,90,True,True,2,17,2897,2907,11,11
1393752,True,FT,90,True,True,2,18,2916,2905,11,11
1393753,True,FT,90,True,True,2,16,2896,2897,11,11
1393757,True,FT,90,True,True,2,11,2916,2903,11,11
1393759,True,FT,90,True,True,2,21,2897,2903,11,11
1393763,True,FT,90,True,True,2,18,2900,2899,11,11
1393764,True,FT,90,True,True,2,17,2907,2916,11,11
1393771,True,FT,90,True,True,2,17,2896,2903,11,11
1393772,True,FT,90,True,True,2,16,2904,2916,11,11
1393775,True,FT,90,True,True,2,18,2900,2897,11,11
1393782,True,FT,90,True,True,2,17,2899,2916,11,11
1393790,True,FT,90,True,True,2,19,2905,2897,11,11
1393792,True,FT,90,True,True,2,12,2898,2900,11,11
1394076,True,FT,90,True,True,2,18,9364,1320,11,11
1394084,True,FT,90,True,True,2,14,1321,9364,11,11
1394096,True,FT,90,True,True,2,23,9364,4265,11,11
1394111,True,FT,90,True,True,2,19,1620,9364,11,11
1394115,True,FT,90,True,True,2,20,786,9364,11,11
1394127,True,FT,90,True,True,2,15,9364,1652,11,11
1394165,True,FT,90,True,True,2,14,9364,190,11,11
1394176,True,FT,90,True,True,2,14,9364,4268,11,11
1397982,True,FT,90,True,True,2,19,6358,223,11,11
1397987,True,FT,90,True,True,2,19,223,4744,11,11
1398001,True,FT,90,True,True,2,15,235,223,11,11
1398005,True,FT,90,True,True,2,21,223,213,11,11
1398020,True,FT,90,True,True,2,22,231,223,11,11
1398024,True,FT,90,True,True,2,19,223,810,11,11
1398032,True,FT,90,True,True,2,19,238,223,11,11
1398167,True,FT,90,True,True,2,16,223,231,11,11
1398186,True,FT,90,True,True,2,13,223,238,11,11
1398204,True,FT,90,True,True,2,18,223,4662,11,11
1398254,True,FT,90,True,True,2,18,216,223,11,11
1398258,True,FT,90,True,True,2,18,223,244,11,11
1404268,True,FT,90,True,True,2,18,2789,2803,11,11
