fixture_id,player_id,player_name,team_id,team,competition_id,competition,season,match_date,primary_position,observed_position,minutes,is_starter,detail_present,coverage_status,source_player,source_lineup
1383440,160925,T. Ali,375.0,Sweden,2.0,UEFA Champions League,2025.0,,AM,,,True,False,lineup_only_startXI,,data/lake/batches/batch_bundle_29690789529_2_lineups.csv.gz
1383451,1324,I. Sunjic,3403.0,Bosnia & Herzegovina,2.0,UEFA Champions League,2025.0,,AM,,,True,False,lineup_only_startXI,,data/lake/batches/batch_bundle_29690789529_1_lineups.csv.gz
1383451,25341,D. Luckassen,3403.0,Ghana,2.0,UEFA Champions League,2025.0,,RB,,,True,False,lineup_only_startXI,,data/lake/batches/batch_bundle_29690789529_1_lineups.csv.gz
1383454,1324,I. Sunjic,3403.0,Bosnia & Herzegovina,2.0,UEFA Champions League,2025.0,,AM,,,True,False,lineup_only_startXI,,data/lake/batches/batch_bundle_29690789529_1_lineups.csv.gz
1383454,25341,D. Luckassen,3403.0,Ghana,2.0,UEFA Champions League,2025.0,,RB,,,True,False,lineup_only_startXI,,data/lake/batches/batch_bundle_29690789529_1_lineups.csv.gz
1384111,2975,C. Blackman,656.0,Panama,332.0,Super Liga,2025.0,,RB,,,True,False,lineup_only_startXI,,data/lake/batches/batch_bundle_29690789529_2_lineups.csv.gz
1384133,2975,C. Blackman,656.0,Panama,332.0,Super Liga,2025.0,,RB,,,True,False,lineup_only_startXI,,data/lake/batches/batch_bundle_29690789529_2_lineups.csv.gz
1384140,2975,C. Blackman,656.0,Panama,332.0,Super Liga,2025.0,,RB,,,True,False,lineup_only_startXI,,data/lake/batches/batch_bundle_29690789529_2_lineups.csv.gz
1384145,2975,C. Blackman,656.0,Panama,332.0,Super Liga,2025.0,,RB,,,True,False,lineup_only_startXI,,data/lake/batches/batch_bundle_29690789529_2_lineups.csv.gz
1384163,2975,C. Blackman,656.0,Panama,332.0,Super Liga,2025.0,,RB,,,True,False,lineup_only_startXI,,data/lake/batches/batch_bundle_29690789529_2_lineups.csv.gz
