player_id,player_name,world_cup_team,squad_position,resolved_role,role_stability,role_observations,role_distribution,reported_minutes,orientation_mapping,fixture_endpoint_coverage,coverage_pass_80pct,stable_role_60pct,scientific_role_eligible,minutes_num,overall,uncertainty,conservative_score,build_up,progression,creation,finishing,defending,duels,retention,goalkeeping,profile_scored,lower_95,upper_95,role_rank_conservative,top30_lower_threshold,best_lower_threshold,plausible_top30,plausible_real_xi,guardrail_top35,insufficient_evidence_guardrail,in_selection_frontier,frontier_reason,cov_annual_current,pass_annual_current,miss_annual_current,known_minute_cov_annual_current,missing_startXI_annual_current,exact_minutes_annual_current,coverage_version_annual_current,cov_pre_world_cup,pass_pre_world_cup,miss_pre_world_cup,known_minute_cov_pre_world_cup,missing_startXI_pre_world_cup,exact_minutes_pre_world_cup,coverage_version_pre_world_cup,covered,lo90,hi90,stable,rank,urank,needed,reason
5,M. Akanji,Switzerland,Defender,RB,0.8333333333333334,48,RB:40 | LCB:7 | RCB:1,4981.0,low_is_left,1.0,True,True,True,4307.0,0.4766532942799323,0.0711117721765831,0.4055415221033491,0.7374304416480224,0.3496966345028469,0.3614683780446074,0.4290169053831767,0.5689109011745149,0.398400362971918,0.7737770654833676,0.6882738593593317,True,0.3372742208138293,0.6160323677460353,132.0,0.4140762867709887,0.537777630667353,True,True,False,False,True,plausible_real_xi,1.0,True,0,1.0,0,4307.0,exact_window_known_minutes_v2_event_bounded,1.0,True,0,1.0,0,3954.0,exact_window_known_minutes_v2_event_bounded,True,0.3596848378963328,0.5936217506635318,True,130.0,224.0,False,outside_decision_frontier
9,A. Hakimi,Morocco,Defender,RB,1.0,45,RB:45,4466.0,low_is_left,1.0,True,True,True,3641.0,0.617379245237745,0.0773425698550447,0.5400366753827003,0.7852980042776235,0.6214865439501265,0.7443641624193456,0.5291567986341593,0.4857897923380951,0.4367862043705294,0.4885680607796658,0.6203688165524318,True,0.4657878083218573,0.7689706821536327,8.0,0.4140762867709887,0.537777630667353,True,True,True,False,True,plausible_real_xi,1.0,True,0,1.0,0,3641.0,exact_window_known_minutes_v2_event_bounded,1.0,True,0,1.0,0,3664.0,exact_window_known_minutes_v2_event_bounded,True,0.49016203869392716,0.7445964517815629,True,8.0,35.0,False,outside_decision_frontier
17,C. Pulisic,USA,Midfielder,RW,0.5217391304347826,23,RW:12 | ST:9 | LW:2,2607.0,low_is_left,1.0,False,False,False,2030.0,0.714620352700539,0.1035811953947668,0.6110391573057722,0.5282744125207273,0.781899789029269,0.7567686579349315,0.8206284658200043,0.3076848387689735,0.4909738763284638,0.5311249636942867,0.5390425912913697,True,0.511601209726796,0.917639495674282,25.0,0.5129506006993587,0.6854695334585559,True,True,True,True,True,insufficient_evidence_guardrail,1.0,True,0,1.0,0,2030.0,exact_window_known_minutes_v2_event_bounded,1.0,True,0,1.0,0,1806.0,exact_window_known_minutes_v2_event_bounded,True,0.5442444477714877,0.8849962576295903,False,25.0,17.0,False,outside_decision_frontier
20,A. Witsel,Belgium,Midfielder,AM,0.5333333333333333,30,AM:16 | CM:13 | DM:1,2678.0,low_is_left,1.0,True,False,False,2564.0,0.5558368098976866,0.092165827623861,0.4636709822738255,0.6178651609291742,0.4392271801391007,0.4390503242418487,0.4126825060386664,0.5275151199453721,0.5163043560900711,0.7293256426795478,0.6641686600817603,True,0.375191787754919,0.7364818320404541,86.0,0.4583156981188975,0.5944349510352618,True,True,False,True,True,insufficient_evidence_guardrail,1.0,True,0,1.0,0,2564.0,exact_window_known_minutes_v2_event_bounded,1.0,True,0,1.0,0,2533.0,exact_window_known_minutes_v2_event_bounded,True,0.4042375140495946,0.7074361057457785,False,86.0,95.0,False,outside_decision_frontier
30,S. Arias,Colombia,Defender,RB,1.0,29,RB:29,4115.0,low_is_left,1.0,False,True,False,2709.0,0.5149980994202144,0.0896653060533144,0.4253327933668999,0.5630871628445878,0.4305052705925886,0.48786407013099,0.3730042154889891,0.6354432284994177,0.4677706532058118,0.3732563839755281,0.5122282602731992,True,0.3392540995557179,0.6907420992847108,106.0,0.4140762867709887,0.537777630667353,True,True,False,False,True,plausible_real_xi,1.0,True,0,1.0,0,2709.0,exact_window_known_minutes_v2_event_bounded,1.0,True,0,1.0,0,2736.0,exact_window_known_minutes_v2_event_bounded,True,0.3675117955467064,0.6624844032937223,True,104.0,113.0,False,outside_decision_frontier
31,J. M. Gimenez,Uruguay,Defender,RCB,0.75,16,RCB:12 | LCB:4,2569.0,low_is_left,1.0,False,True,False,1537.0,0.5221339737309444,0.1190397494068342,0.4030942243241101,0.6619558471364804,0.3523162565369901,0.3402225424898327,0.4247296288769029,0.6883635680892349,0.6546666199158507,0.7640920061393434,0.64621858476786,True,0.2888160648935492,0.7554518825683396,23.0,0.2888160648935492,0.5805399022955131,True,True,True,False,True,plausible_real_xi,1.0,True,0,1.0,0,1537.0,exact_window_known_minutes_v2_event_bounded,1.0,True,0,1.0,0,1537.0,exact_window_known_minutes_v2_event_bounded,True,0.3263310101677188,0.71793693729417,True,22.0,11.0,False,outside_decision_frontier
33,L. Hernandez,France,Defender,LB,0.8095238095238095,21,LB:17 | RB:3 | LCB:1,2291.0,low_is_left,1.0,True,True,True,2084.0,0.5241954874197013,0.1022304047834503,0.421965082636251,0.828726293870799,0.4055282243494484,0.4803586997369609,0.3945746815740649,0.5318264616383237,0.414360458514484,0.4940470654652903,0.6790392995020491,True,0.3238238940441387,0.724567080795264,28.0,0.3170630071570786,0.5537089048331636,True,True,True,False,True,plausible_real_xi,1.0,True,0,1.0,0,2084.0,exact_window_known_minutes_v2_event_bounded,1.0,True,0,1.0,0,2182.0,exact_window_known_minutes_v2_event_bounded,True,0.356041435326926,0.6923495395124767,True,27.0,20.0,False,outside_decision_frontier
44,Rodri,Spain,Midfielder,DM,0.8235294117647058,34,DM:28 | CM:6,3076.0,low_is_left,1.0,True,True,True,2811.0,0.6857301344646063,0.0880234760575071,0.5977066584070991,0.9037293259731144,0.5533416398549214,0.5601289945711563,0.4234658692883536,0.6127491258369707,0.7250179861640441,0.6940095426661017,0.664996638729085,True,0.5132041213918923,0.8582561475373203,2.0,0.2567438243531459,0.59591886719741,True,True,True,False,True,plausible_real_xi,1.0,True,0,1.0,0,2811.0,exact_window_known_minutes_v2_event_bounded,1.0,True,0,1.0,0,2356.0,exact_window_known_minutes_v2_event_bounded,True,0.5409444006145396,0.830515868314673,True,2.0,2.0,False,outside_decision_frontier
49,T. Partey,Ghana,Midfielder,CM,0.6666666666666666,15,CM:10 | DM:3 | AM:2,2722.0,low_is_left,1.0,False,True,False,1602.0,0.5714114786421988,0.1165997668006996,0.4548117118414991,0.5943759198935279,0.4973631126959105,0.4764891735431489,0.3823989999672051,0.6539665875778448,0.4588768067268466,0.6960961182292192,0.5365040634343018,True,0.3428759357128276,0.7999470215715699,82.0,0.4698174469315781,0.6752213663290523,True,True,False,False,True,plausible_real_xi,1.0,True,0,1.0,0,1602.0,exact_window_known_minutes_v2_event_bounded,1.0,True,0,1.0,0,1332.0,exact_window_known_minutes_v2_event_bounded,True,0.3796219293183722,0.7632010279660253,True,82.0,44.0,False,outside_decision_frontier
69,B. Mechele,Belgium,Defender,RCB,0.6271186440677966,59,RCB:37 | LCB:11 | RB:11,5448.0,low_is_left,1.0,True,True,True,5270.0,0.7065425588139983,0.0642870696522883,0.6422554891617099,0.7479174441339551,0.3642741764740689,0.3912613094733908,0.5112185467818571,0.6625729616878283,0.6331119746469899,0.8253682504289865,0.6862408236708456,True,0.5805399022955131,0.8325452153324835,1.0,0.2888160648935492,0.5805399022955131,True,True,True,False,True,plausible_real_xi,1.0,True,0,1.0,0,5270.0,exact_window_known_minutes_v2_event_bounded,1.0,True,0,1.0,0,4700.0,exact_window_known_minutes_v2_event_bounded,True,0.60079973913035,0.8122853784976466,True,1.0,2.0,False,outside_decision_frontier
