player_id,player_name,world_cup_team,window,fixture_id,benchmark_precheck,priority_reason
30,S. Arias,Colombia,annual_current,1351180,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351191,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351194,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351210,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351222,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351230,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351235,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351250,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351257,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351270,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351281,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351294,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351320,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351330,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351336,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351350,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351358,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1351369,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1377226,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1377528,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1377529,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1436279,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1436285,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1478008,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1478017,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1478033,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1478037,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1478051,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1491825,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1491842,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1491855,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1491873,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1491886,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1491901,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1491914,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1491931,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1491950,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1491962,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1491974,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1491993,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1492004,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1492015,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1492035,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1492046,True,player_below_80pct_coverage
30,S. Arias,Colombia,annual_current,1544180,True,player_below_80pct_coverage
30,S. Arias,Colombia,pre_world_cup,1351157,True,player_below_80pct_coverage
30,S. Arias,Colombia,pre_world_cup,1351170,True,player_below_80pct_coverage
30,S. Arias,Colombia,pre_world_cup,1351180,True,player_below_80pct_coverage
30,S. Arias,Colombia,pre_world_cup,1351191,True,player_below_80pct_coverage
