player_id,player_name,world_cup_team,squad_position,resolved_role,role_stability,role_observations,role_distribution,reported_minutes,orientation_mapping,fixture_endpoint_coverage,coverage_pass_80pct,stable_role_60pct,scientific_role_eligible,minutes_num,overall,uncertainty,conservative_score,build_up,progression,creation,finishing,defending,duels,retention,goalkeeping,profile_scored,lower_95,upper_95,role_rank_conservative,top30_lower_threshold,best_lower_threshold,plausible_top30,plausible_real_xi,guardrail_top35,insufficient_evidence_guardrail,in_selection_frontier,frontier_reason,cov_annual_current,pass_annual_current,miss_annual_current,cov_pre_world_cup,pass_pre_world_cup,miss_pre_world_cup,covered,lo90,hi90,stable,rank,urank,needed,reason
17,C. Pulisic,USA,Midfielder,RW,0.5217391304347826,23,RW:12 | ST:9 | LW:2,2607.0,low_is_left,1.0,False,False,False,2030.0,0.7211261312077414,0.1035811953947668,0.6175449358129745,0.5264203043003772,0.7878065218721473,0.765274118961395,0.8322585164064453,0.3048408595590524,0.4947163145247718,0.5299025796521947,0.536715965854595,True,0.5181069882339984,0.9241452741814844,14.0,0.5042096688986383,0.6792848188630003,True,True,True,True,True,insufficient_evidence_guardrail,1.0,False,0,1.0,True,0,False,0.5507502262786901,0.8915020361367927,False,14.0,30.0,True,high_ability_role_stabilization
31,J. M. Gimenez,Uruguay,Defender,RCB,0.75,16,RCB:12 | LCB:4,2569.0,low_is_left,1.0,False,True,False,1537.0,0.5214301376768355,0.1190397494068342,0.4023903882700013,0.6598497254491315,0.3508648929637215,0.337211874715776,0.418936652117226,0.6881735410052693,0.6594192899725062,0.7584481253570914,0.6402686980678304,True,0.2881122288394404,0.7547480465142307,23.0,0.2846286838382076,0.5773018040873583,True,True,True,False,True,plausible_real_xi,1.0,False,0,1.0,True,0,False,0.32562717411361,0.7172331012400611,True,23.0,13.0,True,upper90_can_enter_real_xi
49,T. Partey,Ghana,Midfielder,CM,0.6666666666666666,15,CM:10 | DM:3 | AM:2,2722.0,low_is_left,1.0,False,True,False,1602.0,0.5708056896441862,0.1165997668006996,0.4542059228434866,0.5923536637390957,0.4990515251696661,0.4778846346264207,0.3744323393126181,0.6534908788473273,0.4623070987057942,0.6913297803241643,0.5342701010555109,True,0.342270146714815,0.7993412325735574,84.0,0.4628172708218756,0.6802178488026471,True,True,False,False,True,plausible_real_xi,1.0,False,0,1.0,True,0,False,0.37901614032035963,0.7625952389680128,True,84.0,53.0,True,upper90_can_enter_real_xi
154,L. Messi,Argentina,Attacker,RW,0.972972972972973,37,RW:36 | LW:1,7195.0,low_is_left,0.6923076923076923,False,True,False,2878.0,0.8497907984931751,0.0869928467500891,0.7627979517430858,0.6359649012966497,0.9217242309675692,0.9658799418056918,0.9841387913312036,0.3174698578236676,0.6253290987475725,0.4913454211049814,0.4185534894101175,True,0.6792848188630003,1.0,1.0,0.5042096688986383,0.6792848188630003,True,True,True,False,True,plausible_real_xi,0.6923076923076923,False,16,0.6666666666666666,False,18,False,0.7067002989974575,0.9928812979888927,True,1.0,6.0,True,upper90_can_enter_real_xi
168,D. Sanchez,Colombia,Defender,RB,0.64,50,RB:32 | RCB:17 | LCB:1,5466.0,low_is_left,1.0,False,True,False,4228.0,0.517960546062022,0.0717730576679086,0.4461874883941133,0.7090968099625998,0.4015004055983593,0.3906528935406151,0.4287747384872931,0.5910474273166496,0.553964656101713,0.6133899398379469,0.6159566877778758,True,0.377285353032921,0.658635739091123,52.0,0.3992356420301455,0.5298895123436286,True,True,False,False,True,plausible_real_xi,1.0,False,0,1.0,True,0,False,0.3999043718395654,0.6360167202844786,True,52.0,147.0,True,upper90_can_enter_real_xi
186,Son Heung-Min,South Korea,Attacker,RW,1.0,21,RW:21,4495.0,low_is_left,0.6744186046511628,False,True,False,2011.0,0.670787329989836,0.1040693644671032,0.5667179655227328,0.4529935051330905,0.7393224376321926,0.8751211051776843,0.6550146394490715,0.2606848530757739,0.3593738942459586,0.4848420064094433,0.491354671657488,True,0.4668113756343136,0.8747632843453584,54.0,0.5042096688986383,0.6792848188630003,True,True,False,False,True,plausible_real_xi,0.6744186046511628,False,14,0.6363636363636364,False,16,False,0.49960845839158663,0.8419662015880854,True,54.0,63.0,True,upper90_can_enter_real_xi
217,L. Martinez,Argentina,Attacker,ST,0.55,40,ST:22 | RW:18,4844.0,low_is_left,1.0,False,False,False,3169.0,0.6357665005760231,0.0829025364262972,0.5528639641497259,0.3618958721756536,0.5981347946418182,0.6559145251866736,0.9277659283685764,0.3681812593893653,0.5037540680554573,0.3349148352087089,0.3258402229019467,True,0.4732775291804806,0.7982554719715657,8.0,0.2817073696090256,0.6231786076827093,True,True,True,True,True,insufficient_evidence_guardrail,1.0,False,0,1.0,True,0,False,0.4994039628517516,0.7721290383002947,False,8.0,10.0,True,high_ability_role_stabilization
221,E. Room,Curaçao,Goalkeeper,GK,1.0,9,GK:9,1294.0,low_is_left,0.6,False,True,False,821.0,0.6734545116076471,0.1628760990130837,0.5105784125945634,0.2716579491696398,0.2970060933240284,0.3059598084423749,0.3109547249571381,0.204786471396867,0.1682139824599355,0.128715762303171,0.9996646498695336,True,0.354217357542003,0.9926916656732911,76.0,0.563013526862479,0.664191027707044,True,True,False,False,True,plausible_real_xi,0.6,False,18,0.6,False,18,False,0.4055471694022693,0.941361853813025,True,76.0,24.0,True,upper90_can_enter_real_xi
225,A. Behich,Australia,Midfielder,RB,0.75,16,RB:12 | LB:2 | LCB:2,4313.0,low_is_left,0.4878048780487805,False,True,False,1504.0,0.517007610323511,0.120338617985763,0.3966689923377479,0.5415711581119371,0.5320751727323316,0.5739075290360035,0.4876812546874354,0.5245928505201827,0.3702140796956325,0.3848384434226113,0.37218268263405,True,0.2811439190714154,0.7528713015756064,103.0,0.3992356420301455,0.5298895123436286,True,True,False,False,True,plausible_real_xi,0.4878048780487805,False,21,0.4324324324324324,False,21,False,0.319068198067301,0.7149470225797209,True,103.0,69.0,True,upper90_can_enter_real_xi
242,R. Thomas,New Zealand,Midfielder,AM,1.0,8,AM:8,2532.0,low_is_left,0.3333333333333333,False,True,False,725.0,0.5620524639821589,0.1733244913748338,0.3887279726073251,0.4754215694239175,0.4600008386961339,0.3695370498187514,0.408194070836554,0.7208712734388512,0.7076123178625519,0.4020446770383569,0.4326970795202668,True,0.2223364608874846,0.9017684670768332,75.0,0.4172372019118209,0.5982105538392852,True,True,False,False,True,plausible_real_xi,0.3333333333333333,False,26,0.2777777777777778,False,26,False,0.2769590457047444,0.8471458822595734,True,75.0,27.0,True,upper90_can_enter_real_xi
