player_id,annual_minutes,final_role,final_family,exact_role_minutes,exact_role_observations,exact_role_share,family,family_minutes,family_observations,family_share,player_name,world_cup_team,squad_position,overall,uncertainty,conservative_score,build_up,progression,creation,finishing,defending,duels,retention,goalkeeping,exact_window_total_minutes,human_review_resolved,review_resolved,assignment_source,overall_final,conservative_score_final,complete_role_specific_profile,final_role_eligible_before_coverage,eligibility_exclusion_reason,fixture_coverage_annual_current,known_minute_coverage_annual_current,missing_fixture_endpoints_annual_current,missing_startXI_annual_current,exact_detailed_minutes_annual_current,coverage_pass_90_annual_current,fixture_coverage_pre_world_cup,known_minute_coverage_pre_world_cup,missing_fixture_endpoints_pre_world_cup,missing_startXI_pre_world_cup,exact_detailed_minutes_pre_world_cup,coverage_pass_90_pre_world_cup,coverage_pass_90pct,final_candidate_eligible,coverage_exclusion_reason
78,4957,AM,MID,2655.0,30.0,0.5510585305105853,MID,4818.0,55.0,1.0,H. Vanaken,Belgium,Midfielder,0.6603140068596475,0.066285643728143,0.5940283631315044,0.7569089021769452,0.5971181969093774,0.7115579378835555,0.6113323048944709,0.4380983774821079,0.4649282509624705,0.6303435959024378,0.6041107865007218,4957,True,True,explicit_outcome_blind_adjudication,0.6603140068596475,0.5940283631315044,True,True,,1.0,1.0,0,0,4957.0,True,1.0,1.0,0,0,4633.0,True,True,True,
276,2566,AM,MID,90.0,1.0,0.2535211267605634,MID,90.0,1.0,0.2535211267605634,Neymar,Brazil,Attacker,0.7563695175494118,0.0921299025288989,0.664239615020513,0.6046952529862666,0.8541927828338964,0.8409329072587145,0.8192392660892999,0.2593611258098884,0.731116883800549,0.3376598375883269,0.3116956952616166,2566,True,True,explicit_outcome_blind_adjudication,0.7563695175494118,0.664239615020513,True,False,positional_family_minutes_lt_900;positional_family_observations_lt_3;,1.0,1.0,0,0,2566.0,True,1.0,1.0,0,0,2619.0,True,True,False,
517,1855,AM,MID,603.0,7.0,0.37546699875467,MID,603.0,7.0,0.37546699875467,J. Rodriguez,Colombia,Attacker,0.7326193994923565,0.1083570020450145,0.624262397447342,0.7417511109899095,0.7831969495511477,0.8859727861317526,0.6817766787664824,0.2899224328656066,0.4712350634315284,0.6798533312272217,0.4952626665500054,1855,True,True,explicit_outcome_blind_adjudication,0.7326193994923565,0.624262397447342,True,False,positional_family_minutes_lt_900;,1.0,1.0,0,0,1855.0,True,1.0,1.0,0,0,1639.0,True,True,False,
583,3478,AM,MID,595.0,7.0,0.2399193548387097,MID,685.0,8.0,0.2762096774193548,Joao Felix,Portugal,Midfielder,0.764554565137988,0.0791341877223427,0.6854203774156452,0.5046800083368626,0.8141251043911322,0.8762060449419034,0.8820000793282111,0.3513025861579814,0.579726117879269,0.4523124495014513,0.4120357289331639,3478,True,True,explicit_outcome_blind_adjudication,0.764554565137988,0.6854203774156452,True,False,positional_family_minutes_lt_900;,1.0,0.9747757847533632,0,1,3478.0,True,1.0,0.9732461355529132,0,1,3274.0,True,True,False,
636,3967,AM,MID,0.0,0.0,0.0,MID,2308.0,29.0,0.8239914316315602,B. Silva,Portugal,Midfielder,0.5715720282376708,0.0740965244340036,0.4974755038036672,0.7516222083845323,0.5403453090300612,0.6006114863678296,0.4614243294591204,0.4965626568649844,0.3055994173087046,0.5372027715139097,0.6491691982571788,3967,True,True,explicit_outcome_blind_adjudication,0.5715720282376708,0.4974755038036672,True,True,,1.0,1.0,0,0,3967.0,True,1.0,1.0,0,0,4133.0,True,True,True,
658,2736,AM,MID,1638.0,19.0,0.6102831594634873,MID,2262.0,27.0,0.8427719821162444,H. Aouar,Algeria,Attacker,0.6246432146532556,0.0892217816219193,0.5354214330313362,0.5414481145054716,0.6380011640550071,0.586175492572079,0.7882306698796877,0.3829618816356733,0.4731296146656848,0.5329729475165131,0.5225555589988073,2736,True,True,explicit_outcome_blind_adjudication,0.6246432146532556,0.5354214330313362,True,True,,1.0,1.0,0,0,2736.0,True,1.0,1.0,0,0,2563.0,True,True,True,
726,2491,AM,MID,658.0,9.0,0.3353720693170234,MID,1039.0,14.0,0.5295616717635067,A. Kramaric,Croatia,Midfielder,0.6099098895373744,0.0935065586761465,0.5164033308612278,0.5155728262508762,0.5536691615897384,0.6768454578609734,0.8582025924268205,0.2784224901027063,0.1921090469047089,0.5843837243275756,0.5143302667438917,2491,True,True,explicit_outcome_blind_adjudication,0.6099098895373744,0.5164033308612278,True,True,,1.0,1.0,0,0,2491.0,True,1.0,1.0,0,0,2421.0,True,True,True,
842,3544,AM,MID,531.0,6.0,0.3023917995444191,MID,1438.0,17.0,0.8189066059225513,N. Vlasic,Croatia,Midfielder,0.5553260962411409,0.0783938657940206,0.4769322304471202,0.4738528197468001,0.6168764518461477,0.6561752016951057,0.6196291348457532,0.5631536320910442,0.5333953147396615,0.5119630544071785,0.4816240064322794,3544,True,True,explicit_outcome_blind_adjudication,0.5553260962411409,0.4769322304471202,True,True,,1.0,1.0,0,0,3544.0,True,1.0,1.0,0,0,3355.0,True,True,True,
927,2119,AM,MID,0.0,0.0,0.0,MID,662.0,9.0,0.5003779289493575,Lee Kang-In,South Korea,Attacker,0.7560458813871643,0.1013826080904338,0.6546632732967305,0.7825758801321153,0.8712909082762187,0.8989327213102971,0.6254822435383243,0.3490842472872358,0.5400159796408568,0.6729212925025602,0.6670201769931555,2119,True,True,explicit_outcome_blind_adjudication,0.7560458813871643,0.6546632732967305,True,False,positional_family_minutes_lt_900;,1.0,1.0,0,0,2119.0,True,1.0,1.0,0,0,1909.0,True,True,False,
1323,3265,AM,MID,1641.0,21.0,0.5941346850108616,MID,2519.0,33.0,0.9120202751629254,D. Olmo,Spain,Midfielder,0.6620878001972802,0.0816746618165535,0.5804131383807266,0.6386525542611926,0.6656247184890277,0.7579156359199822,0.6258109436708023,0.4641533508622426,0.5490174590478429,0.5118579822009315,0.526710968836955,3265,True,True,explicit_outcome_blind_adjudication,0.6620878001972802,0.5804131383807266,True,True,,1.0,1.0,0,0,3265.0,True,1.0,1.0,0,0,2845.0,True,True,True,
