team,score_state,numerical_state,phase,simulations,possessions,shots,goals,xg,shots_per_possession,goals_per_possession,xg_per_possession
Real Best XI,leading,equal,extra_time,3105,28632.0,4871.0,784.0,792.9973290382469,0.17012433640681754,0.02738195026543727,0.027696190592283003
Real Best XI,leading,equal,first_half,21401,299979.0,52873.0,9187.0,9380.633012674587,0.17625567123031946,0.030625477116731505,0.03127096567651265
Real Best XI,leading,equal,second_half,25218,480073.0,84246.0,13980.0,14311.446595246012,0.17548581153282938,0.029120571246456266,0.02981097998688952
Real Best XI,leading,inferior,extra_time,271,1848.0,317.0,45.0,48.15343689610956,0.17153679653679654,0.024350649350649352,0.026057054597461885
Real Best XI,leading,inferior,first_half,362,2742.0,409.0,65.0,67.71197874227468,0.14916119620714807,0.023705324580598104,0.02469437590892585
Real Best XI,leading,inferior,second_half,1338,16373.0,2600.0,412.0,406.44291930299363,0.15879802113235203,0.025163378733280402,0.024823973572527552
Real Best XI,leading,superior,extra_time,445,4063.0,783.0,130.0,131.2576545663535,0.19271474280088605,0.03199606202313562,0.0323056004347412
Real Best XI,leading,superior,first_half,522,4893.0,944.0,161.0,177.44256762474237,0.1929286736153689,0.032904148783977114,0.03626457543935058
Real Best XI,leading,superior,second_half,1817,30246.0,5819.0,1050.0,1033.947351605871,0.1923890762414865,0.03471533425907558,0.034184598016460725
Real Best XI,tied,equal,extra_time,10826,132211.0,22002.0,3411.0,3498.305032889284,0.16641580503891507,0.025799668711378024,0.026460014922277904
Real Best XI,tied,equal,first_half,49239,768777.0,135440.0,23558.0,24068.628491134306,0.17617592617885292,0.030643476586838577,0.0313076854421169
Real Best XI,tied,equal,second_half,26144,364486.0,63018.0,10510.0,10623.1827239774,0.17289552959510104,0.02883512672640376,0.02914565367113524
Real Best XI,tied,inferior,extra_time,1039,10336.0,1553.0,231.0,241.04269412301454,0.15025154798761609,0.022349071207430342,0.02332069409084893
Real Best XI,tied,inferior,first_half,637,5415.0,796.0,127.0,135.3749035906153,0.14699907663896583,0.0234533702677747,0.024999982195866167
Real Best XI,tied,inferior,second_half,1336,14132.0,2070.0,317.0,318.7998916524246,0.14647608264930653,0.022431361449193322,0.022558724289019574
Real Best XI,tied,superior,extra_time,1055,12374.0,2376.0,408.0,405.43289202575875,0.1920155164053661,0.03297236140294165,0.032764901569885145
Real Best XI,tied,superior,first_half,667,6122.0,1219.0,222.0,232.59240221691044,0.19911793531525646,0.03626265926167919,0.03799287850651918
Real Best XI,tied,superior,second_half,1453,16839.0,3411.0,596.0,611.0362701587093,0.20256547300908606,0.03539402577350199,0.03628696895057362
Real Best XI,trailing,equal,extra_time,2998,27783.0,4867.0,751.0,795.848609044713,0.17517906633552893,0.02703091818738077,0.028645164634658354
Real Best XI,trailing,equal,first_half,17692,231833.0,40384.0,6832.0,7129.518552569427,0.17419435541963396,0.029469488813068028,0.03075282014454123
Real Best XI,trailing,equal,second_half,20502,371191.0,66272.0,11055.0,11343.391857338855,0.17853881155523707,0.029782510890619653,0.030559447447106355
Real Best XI,trailing,inferior,extra_time,432,3407.0,439.0,66.0,64.82200439673584,0.1288523627825066,0.01937188142060464,0.019026123979083015
Real Best XI,trailing,inferior,first_half,418,3507.0,527.0,96.0,85.38314399297506,0.1502708867978329,0.02737382378100941,0.024346491015960953
Real Best XI,trailing,inferior,second_half,1393,19424.0,2703.0,382.0,395.86184610158904,0.13915774299835254,0.019666392092257002,0.020380037381671594
Real Best XI,trailing,superior,extra_time,270,2038.0,457.0,91.0,87.54718045993198,0.22423945044160942,0.04465161923454367,0.04295739963686555
Real Best XI,trailing,superior,first_half,327,2733.0,531.0,105.0,100.33835115968874,0.1942919868276619,0.038419319429198684,0.036713630135268474
Real Best XI,trailing,superior,second_half,1059,14299.0,3091.0,584.0,575.9960066998138,0.216168962864536,0.04084201692426044,0.04028225796907573
Synthetic XI,leading,equal,extra_time,2946,25377.0,4242.0,703.0,689.5984228927927,0.16715923868069513,0.027702250068960082,0.027174150722811707
Synthetic XI,leading,equal,first_half,17259,223485.0,37460.0,5769.0,6029.397255155833,0.16761751347965187,0.025813813007584403,0.02697897959664332
Synthetic XI,leading,equal,second_half,20116,346102.0,59264.0,9439.0,9616.741762908288,0.17123275797308307,0.027272307007760718,0.0277858601305635
Synthetic XI,leading,inferior,extra_time,247,1624.0,285.0,43.0,44.40664814036676,0.17549261083743842,0.02647783251231527,0.02734399516032436
Synthetic XI,leading,inferior,first_half,314,2274.0,317.0,51.0,48.88723164609944,0.13940193491644678,0.022427440633245383,0.02149834285228647
Synthetic XI,leading,inferior,second_half,1026,11803.0,1726.0,246.0,268.74411461231193,0.1462340083029738,0.020842158773193255,0.02276913620370346
Synthetic XI,leading,superior,extra_time,428,3640.0,660.0,113.0,112.90584002909668,0.1813186813186813,0.031043956043956045,0.031018087920081507
Synthetic XI,leading,superior,first_half,419,3844.0,725.0,113.0,127.49242555200115,0.18860561914672216,0.029396462018730488,0.033166603941727664
Synthetic XI,leading,superior,second_half,1372,21555.0,3978.0,733.0,679.446901569987,0.18455114822546972,0.034006031083275344,0.03152154495801378
Synthetic XI,tied,equal,extra_time,10828,125846.0,20899.0,3204.0,3338.720330699511,0.16606805142793574,0.02545968882602546,0.02653020620996703
Synthetic XI,tied,equal,first_half,48969,739699.0,122698.0,19128.0,19684.251061714946,0.1658755791206964,0.025859167039566092,0.026611163543164104
Synthetic XI,tied,equal,second_half,26006,349200.0,58998.0,9273.0,9460.334021779989,0.16895189003436425,0.026554982817869416,0.027091449088717034
Synthetic XI,tied,inferior,extra_time,1027,9571.0,1417.0,216.0,216.04663918356033,0.14805140528680388,0.0225681746943893,0.022573047663103158
Synthetic XI,tied,inferior,first_half,639,5193.0,794.0,98.0,116.48646630520153,0.15289813210090505,0.01887155786635856,0.022431439689043237
Synthetic XI,tied,inferior,second_half,1409,13938.0,2048.0,298.0,306.5163750238813,0.14693643277371216,0.02138039890945616,0.021991417349969962
Synthetic XI,tied,superior,extra_time,1057,11852.0,2326.0,390.0,410.4513001106842,0.19625379682753966,0.03290583867701654,0.034631395554394546
Synthetic XI,tied,superior,first_half,645,5790.0,1135.0,208.0,194.55745693870062,0.19602763385146804,0.03592400690846287,0.03360232416903292
Synthetic XI,tied,superior,second_half,1352,15450.0,3013.0,512.0,523.8954905084172,0.19501618122977346,0.03313915857605178,0.033909093236790755
Synthetic XI,trailing,equal,extra_time,3196,28621.0,4981.0,787.0,813.56730302964,0.17403305265364594,0.027497292198036406,0.028425537298823942
Synthetic XI,trailing,equal,first_half,21705,288045.0,47195.0,7316.0,7556.0461526089675,0.1638459268517072,0.025398809213838115,0.02623217258625898
Synthetic XI,trailing,equal,second_half,25526,470833.0,82221.0,12984.0,13441.440569957134,0.17462879619737784,0.027576656691438366,0.02854821257209485
Synthetic XI,trailing,inferior,extra_time,447,3517.0,452.0,67.0,64.09891573330518,0.1285186238271254,0.019050326983224338,0.01822545229835234
Synthetic XI,trailing,inferior,first_half,522,4097.0,572.0,98.0,85.18481996043347,0.13961435196485233,0.02391994142055162,0.02079199901401842
Synthetic XI,trailing,inferior,second_half,1820,25618.0,3496.0,474.0,506.5774496289119,0.13646654695916932,0.018502615348583027,0.019774277837025213
Synthetic XI,trailing,superior,extra_time,288,1983.0,418.0,86.0,79.53032819058045,0.210791729702471,0.04336863338376198,0.040106065653343646
Synthetic XI,trailing,superior,first_half,378,3028.0,641.0,114.0,108.81296885650734,0.2116908850726552,0.037648612945838836,0.035935590771633864
Synthetic XI,trailing,superior,second_half,1367,18271.0,3872.0,702.0,704.749121979562,0.2119205298013245,0.03842154233484757,0.03857200601935099
