player_id,player_name,world_cup_team,squad_position,resolved_role,role_stability,role_observations,role_distribution,reported_minutes,orientation_mapping,fixture_endpoint_coverage,coverage_pass_80pct,stable_role_60pct,scientific_role_eligible,minutes_num,overall,uncertainty,conservative_score,build_up,progression,creation,finishing,defending,duels,retention,goalkeeping,profile_scored,lower_95,upper_95,role_rank_conservative,top30_lower_threshold,best_lower_threshold,plausible_top30,plausible_real_xi,guardrail_top35,insufficient_evidence_guardrail,in_selection_frontier,frontier_reason,exact_detailed_minutes,old_aggregate_minute_eligible,exact_window_minute_eligible,eligibility_changed_to_ineligible
5,M. Akanji,Switzerland,Defender,RB,0.8333333333333334,48,RB:40 | LCB:7 | RCB:1,4981.0,low_is_left,1.0,True,True,True,4307.0,0.4763334993685333,0.0711117721765831,0.4052217271919501,0.7374784564617706,0.3496288367739739,0.3614658925271486,0.4266238963897694,0.5687547349729479,0.3964385754269043,0.7776243508569416,0.6854635898791357,True,0.3369544259024303,0.6157125728346363,124.0,0.4120479238918248,0.5374068155833632,True,True,False,False,True,plausible_real_xi,4307.0,True,True,False
9,A. Hakimi,Morocco,Defender,RB,1.0,45,RB:45,4466.0,low_is_left,1.0,True,True,True,3641.0,0.6166255062180419,0.0773425698550447,0.5392829363629972,0.7854154226682013,0.6202568645891138,0.7436578122773441,0.5275097644346476,0.4855071389875899,0.4350630804687288,0.4877911177253077,0.6176376636586756,True,0.4650340693021542,0.7682169431339296,7.0,0.4120479238918248,0.5374068155833632,True,True,True,False,True,plausible_real_xi,3641.0,True,True,False
17,C. Pulisic,USA,Midfielder,RW,0.5217391304347826,23,RW:12 | ST:9 | LW:2,2607.0,low_is_left,1.0,True,False,False,2030.0,0.714018285658918,0.1035811953947668,0.6104370902641512,0.5279471287384508,0.7804176406332358,0.7560577563265367,0.8212797963332744,0.3072062192275597,0.4896314334055892,0.5311897051298932,0.5365745757983381,True,0.510999142685175,0.917037428632661,25.0,0.5126371832828966,0.6849752974573424,True,True,True,True,True,insufficient_evidence_guardrail,2030.0,True,True,False
20,A. Witsel,Belgium,Midfielder,AM,0.5333333333333333,30,AM:16 | CM:13 | DM:1,2678.0,low_is_left,1.0,True,False,False,2564.0,0.5562276246240448,0.092165827623861,0.4640617970001838,0.6177023233134996,0.4387450353783083,0.4388675202159862,0.4101876040904664,0.5272947106297635,0.5151525764426014,0.7327459139815734,0.6613698016151468,True,0.3755826024812773,0.7368726467668124,81.0,0.4573598994234634,0.5936229045955952,True,True,False,True,True,insufficient_evidence_guardrail,2564.0,True,True,False
30,S. Arias,Colombia,Defender,RB,1.0,29,RB:29,4115.0,low_is_left,1.0,True,True,True,2709.0,0.5145505863248421,0.0896653060533144,0.4248852802715276,0.5628227383041438,0.4300637462989488,0.4875677807992601,0.3702925158684001,0.6353911357031263,0.4662599576273993,0.3703476642992706,0.5098799432377586,True,0.3388065864603456,0.6902945861893385,99.0,0.4120479238918248,0.5374068155833632,True,True,False,False,True,plausible_real_xi,2709.0,True,True,False
31,J. M. Gimenez,Uruguay,Defender,RCB,0.75,16,RCB:12 | LCB:4,2569.0,low_is_left,1.0,True,True,True,1537.0,0.5221013966778815,0.1190397494068342,0.4030616472710472,0.6618743019417174,0.3522366471743831,0.3402674170724397,0.4223092223937211,0.6883905386716632,0.6545979109910005,0.7678625257024867,0.643440463886918,True,0.2887834878404863,0.7554193055152767,23.0,0.2887834878404863,0.5813060479348042,True,True,True,False,True,plausible_real_xi,1537.0,True,True,False
33,L. Hernandez,France,Defender,LB,0.8095238095238095,21,LB:17 | RB:3 | LCB:1,2291.0,low_is_left,1.0,True,True,True,2084.0,0.5237758918229206,0.1022304047834503,0.4215454870394703,0.8288925393238429,0.4052033117843212,0.4800796326748071,0.3919751372541636,0.5316126568152088,0.4124942076014841,0.4933781712877417,0.6762310981164921,True,0.3234042984473579,0.7241474851984833,28.0,0.3165528409838564,0.5532289365983614,True,True,True,False,True,plausible_real_xi,2084.0,True,True,False
44,Rodri,Spain,Midfielder,DM,0.8235294117647058,34,DM:28 | CM:6,3076.0,low_is_left,1.0,True,True,True,2811.0,0.6861275926502921,0.0880234760575071,0.598104116592785,0.9039289927251551,0.5523575160255001,0.5596753011208864,0.4210374739736437,0.6126617776135338,0.7254504290382311,0.6969721050599981,0.6621970697110556,True,0.5136015795775781,0.8586536057230061,2.0,0.1016909168060523,0.5961121894658761,True,True,True,False,True,plausible_real_xi,2811.0,True,True,False
49,T. Partey,Ghana,Midfielder,CM,0.6666666666666666,15,CM:10 | DM:3 | AM:2,2722.0,low_is_left,1.0,True,True,True,1602.0,0.5716252557299801,0.1165997668006996,0.4550254889292805,0.5941693515824532,0.4966158250509412,0.4762190278714815,0.3797343979804921,0.6539427951132343,0.4573035734151809,0.6990881918771812,0.5340467497882706,True,0.3430897128006089,0.8001607986593513,82.0,0.4692310874343214,0.6748904708372268,True,True,False,False,True,plausible_real_xi,1602.0,True,True,False
69,B. Mechele,Belgium,Defender,RCB,0.6271186440677966,59,RCB:37 | LCB:11 | RB:11,5448.0,low_is_left,1.0,True,True,True,5270.0,0.7073087044532894,0.0642870696522883,0.643021634801001,0.7479817640375996,0.3641402372845332,0.3911904585022014,0.5094256512391125,0.6625621182930959,0.6328775514047743,0.8294391473855117,0.6834307582300887,True,0.5813060479348042,0.8333113609717746,1.0,0.2887834878404863,0.5813060479348042,True,True,True,False,True,plausible_real_xi,5270.0,True,True,False
74,S. Amrabat,Morocco,Midfielder,DM,0.5555555555555556,27,DM:15 | CM:9 | AM:3,2721.0,low_is_left,1.0,True,False,False,2369.0,0.5274989077108845,0.0958840583112958,0.4316148493995886,0.6935248203798327,0.4445123737267782,0.4198130447076958,0.4339232339748882,0.5290438470337907,0.4339828903566356,0.5468595767439192,0.6458723777243939,True,0.3395661534207446,0.7154316620010244,15.0,0.1016909168060523,0.5961121894658761,True,True,True,True,True,insufficient_evidence_guardrail,2369.0,True,True,False
