player_id,player_name,world_cup_team,reported_minutes,detailed_match_minutes,detailed_minutes_share,expected_official_fixtures,processed_fixture_endpoints,fixture_endpoint_coverage,missing_fixture_endpoints,detailed_appearance_fixtures,detailed_minutes,aggregate_reported_minutes,minute_reconciliation_ratio_raw,minute_reconciliation_ratio_clipped,coverage_pass_80pct,minutes_present_precheck_not_current,current_share,precheck_share,precheck_pass80,current_pass80,classification,selection_unresolved
22139,S. Moreira,Cape Verde Islands,8049.0,8049.0,1.0,36,36,1.0,0,35,2921.0,8049.0,0.3629022238787427,0.3629022238787427,False,5128.0,0.3629022238787427,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
144709,J. Anang,Ghana,5179.0,5179.0,1.0,43,10,0.2325581395348837,33,10,556.0,5179.0,0.1073566325545472,0.1073566325545472,False,4623.0,0.1073566325545472,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
313,D. Ospina,Colombia,4820.0,4799.0,0.995643153526971,59,15,0.2542372881355932,44,13,549.0,4820.0,0.1139004149377593,0.1139004149377593,False,4250.0,0.1139004149377593,0.995643153526971,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
50879,M. Robinson,USA,6053.0,6053.0,1.0,42,42,1.0,0,32,2123.0,6053.0,0.3507351726416653,0.3507351726416653,False,3930.0,0.3507351726416653,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
44594,Saud Abdulhamid,Saudi Arabia,6126.0,6126.0,1.0,83,83,1.0,0,42,2232.0,6126.0,0.3643486777668952,0.3643486777668952,False,3894.0,0.3643486777668952,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
2502,G. Gómez,Paraguay,9607.0,9607.0,1.0,80,80,1.0,0,70,5750.0,9607.0,0.5985219111064849,0.5985219111064849,False,3857.0,0.5985219111064849,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
304782,T. Hayakawa,Japan,5324.0,5144.0,0.966190833959429,39,21,0.5384615384615384,18,19,1356.0,5324.0,0.2546957175056348,0.2546957175056348,False,3788.0,0.2546957175056348,0.966190833959429,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
2481,Á. Montero,Colombia,4277.0,4277.0,1.0,64,20,0.3125,44,14,545.0,4277.0,0.127425765723638,0.127425765723638,False,3732.0,0.127425765723638,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
195104,R. Rios,Colombia,7516.0,7426.0,0.9880255455029272,94,94,1.0,0,48,3711.0,7516.0,0.4937466737626397,0.4937466737626397,False,3715.0,0.4937466737626397,0.9880255455029272,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
790,E. Dzeko,Bosnia & Herzegovina,5088.0,5088.0,1.0,90,90,1.0,0,40,1516.0,5088.0,0.2979559748427673,0.2979559748427673,False,3572.0,0.2979559748427673,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
1807,E. Ndicka,Ivory Coast,7332.0,7332.0,1.0,58,58,1.0,0,51,3840.0,7332.0,0.5237315875613748,0.5237315875613748,False,3492.0,0.5237315875613748,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
154,L. Messi,Argentina,7195.0,7195.0,1.0,52,52,1.0,0,44,3834.0,7195.0,0.5328700486448923,0.5328700486448923,False,3361.0,0.5328700486448923,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
12303,Ricardo Ade,Haiti,7111.0,7111.0,1.0,60,60,1.0,0,51,3760.0,7111.0,0.5287582618478414,0.5287582618478414,False,3351.0,0.5287582618478414,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
2499,J. Alonso,Paraguay,8456.0,7690.0,0.9094134342478714,71,71,1.0,0,59,4420.0,8456.0,0.5227057710501419,0.5227057710501419,False,3270.0,0.5227057710501419,0.9094134342478714,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
2410,Weverton,Brazil,7181.0,7181.0,1.0,81,81,1.0,0,52,4117.0,7181.0,0.5733184793204289,0.5733184793204289,False,3064.0,0.5733184793204289,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
369,Diogo Costa,Portugal,7705.0,7705.0,1.0,57,57,1.0,0,54,4730.0,7705.0,0.6138870863075925,0.6138870863075925,False,2975.0,0.6138870863075925,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
291024,Hélio Varela,Cape Verde Islands,5123.0,5123.0,1.0,92,92,1.0,0,39,2189.0,5123.0,0.4272886980284989,0.4272886980284989,False,2934.0,0.4272886980284989,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
6236,A. Cubas,Paraguay,5691.0,5691.0,1.0,42,42,1.0,0,35,2805.0,5691.0,0.4928835002635741,0.4928835002635741,False,2886.0,0.4928835002635741,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
182219,Álex Baena,Spain,5477.0,5477.0,1.0,68,68,1.0,0,57,2730.0,5477.0,0.4984480555048384,0.4984480555048384,False,2747.0,0.4984480555048384,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
34418,Kim Tae-Hyeon,South Korea,4204.0,3904.0,0.928639391056137,38,20,0.5263157894736842,18,17,1176.0,4204.0,0.2797335870599429,0.2797335870599429,False,2728.0,0.2797335870599429,0.928639391056137,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
51466,J. Piquerez,Uruguay,6038.0,6038.0,1.0,70,70,1.0,0,53,3341.0,6038.0,0.5533289168598874,0.5533289168598874,False,2697.0,0.5533289168598874,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
69260,Pico,Cape Verde Islands,5703.0,5613.0,0.9842188321935824,54,54,1.0,0,33,2921.0,5703.0,0.5121865684727337,0.5121865684727337,False,2692.0,0.5121865684727337,0.9842188321935824,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
51114,C. Roldan,USA,5309.0,5309.0,1.0,44,44,1.0,0,34,2618.0,5309.0,0.4931248822753814,0.4931248822753814,False,2691.0,0.4931248822753814,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
313383,O. Vargas,Mexico,4641.0,4641.0,1.0,86,86,1.0,0,47,1958.0,4641.0,0.4218918336565395,0.4218918336565395,False,2683.0,0.4218918336565395,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
16360,A. Franco,Ecuador,8477.0,7667.0,0.9044473280641736,70,70,1.0,0,60,4997.0,8477.0,0.5894774094608942,0.5894774094608942,False,2670.0,0.5894774094608942,0.9044473280641736,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
116117,M. Caicedo,Ecuador,7234.0,7234.0,1.0,65,65,1.0,0,58,4587.0,7234.0,0.6340890240530827,0.6340890240530827,False,2647.0,0.6340890240530827,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
50728,M. Freese,USA,6119.0,6119.0,1.0,40,40,1.0,0,40,3525.0,6119.0,0.5760745219807158,0.5760745219807158,False,2594.0,0.5760745219807158,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
335056,D. Moreira,Belgium,5600.0,5580.0,0.9964285714285714,59,59,1.0,0,48,2992.0,5600.0,0.5342857142857143,0.5342857142857143,False,2588.0,0.5342857142857143,0.9964285714285714,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
63964,F. Torres,Ecuador,3994.0,3994.0,1.0,68,68,1.0,0,44,1420.0,3994.0,0.3555332999499249,0.3555332999499249,False,2574.0,0.3555332999499249,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
362400,M. Arfsten,USA,5344.0,5344.0,1.0,37,37,1.0,0,37,2845.0,5344.0,0.532372754491018,0.532372754491018,False,2499.0,0.532372754491018,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
355994,A. Freeman,USA,4375.0,4239.0,0.9689142857142856,61,61,1.0,0,36,1752.0,4375.0,0.4004571428571428,0.4004571428571428,False,2487.0,0.4004571428571428,0.9689142857142856,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
96615,I. Díaz,Panama,4829.0,4829.0,1.0,67,67,1.0,0,38,2349.0,4829.0,0.4864361151377097,0.4864361151377097,False,2480.0,0.4864361151377097,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
2810,D. Zakaria,Switzerland,5608.0,5608.0,1.0,53,53,1.0,0,39,3170.0,5608.0,0.5652639087018545,0.5652639087018545,False,2438.0,0.5652639087018545,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
51148,D. St. Clair,Canada,5283.0,5283.0,1.0,40,40,1.0,0,38,2893.0,5283.0,0.547605527162597,0.547605527162597,False,2390.0,0.547605527162597,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
624,N. Otamendi,Argentina,6580.0,6580.0,1.0,61,61,1.0,0,56,4243.0,6580.0,0.6448328267477204,0.6448328267477204,False,2337.0,0.6448328267477204,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
94344,N. Pijnaker,New Zealand,3483.0,3303.0,0.9483204134366924,33,33,1.0,0,22,968.0,3483.0,0.277921332184898,0.277921332184898,False,2335.0,0.277921332184898,0.9483204134366924,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
210165,F. Surman,New Zealand,5496.0,5258.0,0.9566957787481803,37,37,1.0,0,34,2923.0,5496.0,0.5318413391557496,0.5318413391557496,False,2335.0,0.5318413391557496,0.9566957787481803,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
128766,L. Deedson,Haiti,2887.0,2887.0,1.0,70,70,1.0,0,25,565.0,2887.0,0.1957048839625909,0.1957048839625909,False,2322.0,0.1957048839625909,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
332056,Wagner Pina,Cape Verde Islands,5102.0,5102.0,1.0,47,47,1.0,0,38,2816.0,5102.0,0.5519404155233242,0.5519404155233242,False,2286.0,0.5519404155233242,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
351014,J. Suzuki,Japan,4931.0,4794.0,0.9722165889271952,67,67,1.0,0,39,2513.0,4931.0,0.5096329344960454,0.5096329344960454,False,2281.0,0.5096329344960454,0.9722165889271952,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
51149,M. Boxall,New Zealand,4489.0,4175.0,0.9300512363555358,36,36,1.0,0,26,1916.0,4489.0,0.4268211182891512,0.4268211182891512,False,2259.0,0.4268211182891512,0.9300512363555358,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
406303,K. Páez,Ecuador,3859.0,3576.0,0.9266649391033946,105,105,1.0,0,54,1327.0,3859.0,0.3438714692925628,0.3438714692925628,False,2249.0,0.3438714692925628,0.9266649391033946,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
387521,L. Vuskovic,Croatia,5517.0,4947.0,0.8966829798803697,80,80,1.0,0,38,2717.0,5517.0,0.4924777959035707,0.4924777959035707,False,2230.0,0.4924777959035707,0.8966829798803697,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
70852,O. Gill,Paraguay,6090.0,6000.0,0.9852216748768472,46,46,1.0,0,42,3795.0,6090.0,0.6231527093596059,0.6231527093596059,False,2205.0,0.6231527093596059,0.9852216748768472,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
16367,W. Pacho,Ecuador,6579.0,6579.0,1.0,62,62,1.0,0,58,4396.0,6579.0,0.668186654506764,0.668186654506764,False,2183.0,0.668186654506764,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
16369,G. Plata,Ecuador,5764.0,5449.0,0.945350451075642,77,77,1.0,0,64,3298.0,5764.0,0.5721721027064538,0.5721721027064538,False,2151.0,0.5721721027064538,0.945350451075642,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
1290,G. Varela,Uruguay,5704.0,5704.0,1.0,76,76,1.0,0,64,3574.0,5704.0,0.626577840112202,0.626577840112202,False,2130.0,0.626577840112202,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
61895,S. Mele,Uruguay,3889.0,3889.0,1.0,76,76,1.0,0,45,1790.0,3889.0,0.4602725636410388,0.4602725636410388,False,2099.0,0.4602725636410388,1.0,True,False,minutes_exist_in_precheck_but_not_current_ledger,True
