fixture_id,attempts,last_run_utc,player_rows,lineup_rows,event_rows,status
1383440,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1383451,2,2026-07-20T00:02:32.763690+00:00,0,3,1,rechecked_player_endpoint_empty
1383454,2,2026-07-20T00:02:32.763690+00:00,0,3,2,rechecked_player_endpoint_empty
1384111,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1384133,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1384140,2,2026-07-20T00:02:32.763690+00:00,0,1,1,rechecked_player_endpoint_empty
1384145,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1384163,2,2026-07-20T00:02:32.763690+00:00,0,1,1,rechecked_player_endpoint_empty
1388041,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1389594,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1389645,2,2026-07-20T00:02:32.763690+00:00,0,2,1,rechecked_player_endpoint_empty
1389652,2,2026-07-20T00:02:32.763690+00:00,0,2,2,rechecked_player_endpoint_empty
1389661,2,2026-07-20T00:02:32.763690+00:00,0,2,1,rechecked_player_endpoint_empty
1389684,2,2026-07-20T00:02:32.763690+00:00,0,2,2,rechecked_player_endpoint_empty
1389732,2,2026-07-20T00:02:32.763690+00:00,0,2,2,rechecked_player_endpoint_empty
1389742,2,2026-07-20T00:02:32.763690+00:00,0,2,0,rechecked_player_endpoint_empty
1389753,2,2026-07-20T00:02:32.763690+00:00,0,2,0,rechecked_player_endpoint_empty
1393730,2,2026-07-20T00:02:32.763690+00:00,0,1,1,rechecked_player_endpoint_empty
1393731,2,2026-07-20T00:02:32.763690+00:00,0,3,2,rechecked_player_endpoint_empty
1393732,2,2026-07-20T00:02:32.763690+00:00,0,2,0,rechecked_player_endpoint_empty
1393737,2,2026-07-20T00:02:32.763690+00:00,0,3,3,rechecked_player_endpoint_empty
1393738,2,2026-07-20T00:02:32.763690+00:00,0,3,4,rechecked_player_endpoint_empty
1393741,2,2026-07-20T00:02:32.763690+00:00,0,7,6,rechecked_player_endpoint_empty
1393744,2,2026-07-20T00:02:32.763690+00:00,0,2,1,rechecked_player_endpoint_empty
1393745,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1393749,2,2026-07-20T00:02:32.763690+00:00,0,1,1,rechecked_player_endpoint_empty
1393750,2,2026-07-20T00:02:32.763690+00:00,0,3,0,rechecked_player_endpoint_empty
1393752,2,2026-07-20T00:02:32.763690+00:00,0,2,1,rechecked_player_endpoint_empty
1393753,2,2026-07-20T00:02:32.763690+00:00,0,2,2,rechecked_player_endpoint_empty
1393757,2,2026-07-20T00:02:32.763690+00:00,0,2,1,rechecked_player_endpoint_empty
1393759,2,2026-07-20T00:02:32.763690+00:00,0,4,3,rechecked_player_endpoint_empty
1393763,2,2026-07-20T00:02:32.763690+00:00,0,3,2,rechecked_player_endpoint_empty
1393764,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1393771,2,2026-07-20T00:02:32.763690+00:00,0,2,1,rechecked_player_endpoint_empty
1393772,2,2026-07-20T00:02:32.763690+00:00,0,5,4,rechecked_player_endpoint_empty
1393775,2,2026-07-20T00:02:32.763690+00:00,0,5,2,rechecked_player_endpoint_empty
1393782,2,2026-07-20T00:02:32.763690+00:00,0,1,1,rechecked_player_endpoint_empty
1393790,2,2026-07-20T00:02:32.763690+00:00,0,4,4,rechecked_player_endpoint_empty
1393792,2,2026-07-20T00:02:32.763690+00:00,0,1,1,rechecked_player_endpoint_empty
1394076,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1394084,2,2026-07-20T00:02:32.763690+00:00,0,1,1,rechecked_player_endpoint_empty
1394096,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1394111,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1394115,2,2026-07-20T00:02:32.763690+00:00,0,1,1,rechecked_player_endpoint_empty
1394127,2,2026-07-20T00:02:32.763690+00:00,0,1,1,rechecked_player_endpoint_empty
1394165,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1394176,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1394389,1,2026-07-20T00:01:52.151382+00:00,0,1,0,rechecked_player_endpoint_empty
1394400,1,2026-07-20T00:01:52.151382+00:00,0,1,1,rechecked_player_endpoint_empty
1394409,1,2026-07-20T00:01:52.151382+00:00,0,1,0,rechecked_player_endpoint_empty
1405447,2,2026-07-20T00:02:32.763690+00:00,0,1,1,rechecked_player_endpoint_empty
1405451,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1405458,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1405461,2,2026-07-20T00:02:32.763690+00:00,0,1,1,rechecked_player_endpoint_empty
1410019,2,2026-07-20T00:02:32.763690+00:00,0,1,1,rechecked_player_endpoint_empty
1410025,2,2026-07-20T00:03:46.276365+00:00,0,1,0,rechecked_player_endpoint_empty
1410049,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1410056,2,2026-07-20T00:03:46.276365+00:00,0,1,0,rechecked_player_endpoint_empty
1410072,2,2026-07-20T00:02:32.763690+00:00,0,4,2,rechecked_player_endpoint_empty
1410075,2,2026-07-20T00:02:32.763690+00:00,0,4,2,rechecked_player_endpoint_empty
1415590,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1415592,2,2026-07-20T00:02:32.763690+00:00,0,3,1,rechecked_player_endpoint_empty
1415598,2,2026-07-20T00:02:32.763690+00:00,0,3,4,rechecked_player_endpoint_empty
1415603,2,2026-07-20T00:02:32.763690+00:00,0,3,3,rechecked_player_endpoint_empty
1415607,2,2026-07-20T00:02:32.763690+00:00,0,1,1,rechecked_player_endpoint_empty
1415609,2,2026-07-20T00:02:32.763690+00:00,0,3,1,rechecked_player_endpoint_empty
1415614,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1415617,2,2026-07-20T00:02:32.763690+00:00,0,2,1,rechecked_player_endpoint_empty
1415620,2,2026-07-20T00:02:32.763690+00:00,0,1,2,rechecked_player_endpoint_empty
1415626,2,2026-07-20T00:02:32.763690+00:00,0,1,0,rechecked_player_endpoint_empty
1415627,2,2026-07-20T00:02:32.763690+00:00,0,3,2,rechecked_player_endpoint_empty
