fixture_id,league_id,league_name,season,player_rows,lineup_rows,players_response_nonempty,lineups_response_nonempty,date_utc,sample_order,sample_count,is_latest_sample
1489369,1,World Cup,2026,52,52,True,True,2026-06-11 19:00:00+00:00,0,2,False
1586077,1,World Cup,2026,51,51,True,True,2026-07-15 19:00:00+00:00,1,2,True
1383423,2,UEFA Champions League,2025,0,46,False,True,2025-07-08 16:00:00+00:00,0,2,False
1544371,2,UEFA Champions League,2025,46,46,True,True,2026-05-30 16:00:00+00:00,1,2,True
1554364,2,UEFA Champions League,2026,0,41,False,True,2026-07-07 17:30:00+00:00,0,2,False
1554385,2,UEFA Champions League,2026,32,43,True,True,2026-07-14 19:00:00+00:00,1,2,True
1410068,3,UEFA Europa League,2025,0,44,False,True,2025-07-24 17:00:00+00:00,0,2,False
1544596,3,UEFA Europa League,2025,46,46,True,True,2026-05-20 19:00:00+00:00,1,2,True
1347239,6,Africa Cup of Nations,2025,52,52,True,True,2025-12-21 19:00:00+00:00,0,2,False
1508003,6,Africa Cup of Nations,2025,51,51,True,True,2026-01-18 19:00:00+00:00,1,2,True
1377225,11,CONMEBOL Sudamericana,2025,46,46,True,True,2025-07-16 00:30:00+00:00,0,2,False
1485071,11,CONMEBOL Sudamericana,2025,46,46,True,True,2025-11-22 20:00:00+00:00,1,2,True
1501201,11,CONMEBOL Sudamericana,2026,44,44,True,True,2026-03-04 00:30:00+00:00,0,2,False
1535228,11,CONMEBOL Sudamericana,2026,44,44,True,True,2026-05-28 00:30:00+00:00,1,2,True
1469724,12,CAF Champions League,2025,0,0,False,False,2025-09-20 15:00:00+00:00,0,2,False
1541796,12,CAF Champions League,2025,40,40,True,True,2026-05-24 19:00:00+00:00,1,2,True
1377443,13,CONMEBOL Libertadores,2025,46,46,True,True,2025-08-12 22:00:00+00:00,0,2,False
1485040,13,CONMEBOL Libertadores,2025,46,46,True,True,2025-11-29 21:00:00+00:00,1,2,True
1494504,13,CONMEBOL Libertadores,2026,46,46,True,True,2026-02-06 00:30:00+00:00,0,2,False
1535314,13,CONMEBOL Libertadores,2026,46,46,True,True,2026-05-29 00:30:00+00:00,1,2,True
1321680,15,FIFA Club World Cup,2025,47,47,True,True,2025-06-15 00:00:00+00:00,0,2,False
1399365,15,FIFA Club World Cup,2025,48,48,True,True,2025-07-13 19:00:00+00:00,1,2,True
1514127,16,CONCACAF Champions League,2026,43,43,True,True,2026-02-04 00:00:00+00:00,0,2,False
1544369,16,CONCACAF Champions League,2026,46,46,True,True,2026-05-31 00:00:00+00:00,1,2,True
1431101,17,AFC Champions League Elite,2025,44,44,True,True,2025-08-12 16:00:00+00:00,0,2,False
1542238,17,AFC Champions League Elite,2025,46,46,True,True,2026-04-25 16:15:00+00:00,1,2,True
1431049,18,AFC Champions League Two,2025,0,45,False,True,2025-08-13 12:00:00+00:00,0,2,False
1542549,18,AFC Champions League Two,2025,0,46,False,True,2026-05-16 17:45:00+00:00,1,2,True
1469820,20,CAF Confederation Cup,2025,0,0,False,False,2025-09-20 15:00:00+00:00,0,2,False
1541943,20,CAF Confederation Cup,2025,40,40,True,True,2026-05-16 18:00:00+00:00,1,2,True
1371356,22,CONCACAF Gold Cup,2025,46,46,True,True,2025-06-15 02:15:00+00:00,0,2,False
1391246,22,CONCACAF Gold Cup,2025,46,46,True,True,2025-07-06 23:00:00+00:00,1,2,True
1479250,30,World Cup - Qualification Asia,2026,46,46,True,True,2025-10-08 15:00:00+00:00,0,2,False
1481800,30,World Cup - Qualification Asia,2026,46,46,True,True,2025-11-18 16:00:00+00:00,1,2,True
1169556,31,World Cup - Qualification CONCACAF,2026,43,43,True,True,2025-06-11 00:00:00+00:00,0,2,False
1453336,31,World Cup - Qualification CONCACAF,2026,46,46,True,True,2025-11-19 01:00:00+00:00,1,2,True
1100310,34,World Cup - Qualification South America,2026,46,46,True,True,2025-06-11 00:00:00+00:00,0,2,False
1100322,34,World Cup - Qualification South America,2026,46,46,True,True,2025-09-09 23:30:00+00:00,1,2,True
1537582,37,World Cup - Qualification Intercontinental Play-offs,2026,46,46,True,True,2026-03-31 21:00:00+00:00,0,1,True
1378969,39,Premier League,2025,40,40,True,True,2025-08-15 19:00:00+00:00,0,2,False
1379348,39,Premier League,2025,40,40,True,True,2026-05-24 15:00:00+00:00,1,2,True
1386551,40,Championship,2025,40,40,True,True,2025-08-08 19:00:00+00:00,0,2,False
1545715,40,Championship,2025,40,40,True,True,2026-05-23 14:30:00+00:00,1,2,True
1387103,41,League One,2025,36,36,True,True,2025-08-01 19:00:00+00:00,0,2,False
1387653,41,League One,2025,36,36,True,True,2026-05-02 14:00:00+00:00,1,2,True
1478183,45,FA Cup,2025,0,0,False,False,2025-10-11 14:00:00+00:00,0,2,False
1542889,45,FA Cup,2025,40,40,True,True,2026-05-16 14:00:00+00:00,1,2,True
1444527,46,EFL Trophy,2025,0,36,False,True,2025-09-02 18:00:00+00:00,0,2,False
1529693,46,EFL Trophy,2025,36,36,True,True,2026-04-12 14:00:00+00:00,1,2,True
1393285,48,League Cup,2025,38,38,True,True,2025-08-12 18:00:00+00:00,0,2,False
1518728,48,League Cup,2025,40,40,True,True,2026-03-22 16:30:00+00:00,1,2,True
1387706,61,Ligue 1,2025,40,40,True,True,2025-08-15 18:45:00+00:00,0,2,False
1545409,61,Ligue 1,2025,40,40,True,True,2026-05-29 18:45:00+00:00,1,2,True
1389126,62,Ligue 2,2025,37,37,True,True,2025-08-09 18:00:00+00:00,0,2,False
1390013,62,Ligue 2,2025,36,36,True,True,2026-05-09 18:00:00+00:00,1,2,True
1485814,66,Coupe de France,2025,0,0,False,False,2025-11-15 13:00:00+00:00,0,2,False
1542551,66,Coupe de France,2025,40,40,True,True,2026-05-22 19:00:00+00:00,1,2,True
1351157,71,Serie A,2025,46,46,True,True,2025-06-12 22:00:00+00:00,0,2,False
1478056,71,Serie A,2025,46,46,True,True,2025-12-07 19:00:00+00:00,1,2,True
1492110,71,Serie A,2026,46,46,True,True,2026-01-28 22:00:00+00:00,0,2,False
1492297,71,Serie A,2026,46,46,True,True,2026-07-17 23:00:00+00:00,1,2,True
1377538,73,Copa Do Brasil,2025,32,46,True,True,2025-07-29 22:00:00+00:00,0,2,False
1491727,73,Copa Do Brasil,2025,46,46,True,True,2025-12-21 21:00:00+00:00,1,2,True
1537034,73,Copa Do Brasil,2026,43,43,True,True,2026-04-21 20:00:00+00:00,0,2,False
1537008,73,Copa Do Brasil,2026,45,45,True,True,2026-05-15 00:30:00+00:00,1,2,True
1388308,78,Bundesliga,2025,40,40,True,True,2025-08-22 18:30:00+00:00,0,2,False
1545418,78,Bundesliga,2025,40,40,True,True,2026-05-25 18:30:00+00:00,1,2,True
1388614,79,2. Bundesliga,2025,40,40,True,True,2025-08-01 18:30:00+00:00,0,2,False
1388919,79,2. Bundesliga,2025,40,40,True,True,2026-05-17 13:30:00+00:00,1,2,True
1394057,80,3. Liga,2025,30,38,True,True,2025-08-02 12:00:00+00:00,0,2,False
1394432,80,3. Liga,2025,0,39,False,True,2026-05-16 11:30:00+00:00,1,2,True
1378937,81,DFB Pokal,2025,40,40,True,True,2025-08-15 16:00:00+00:00,0,2,False
1542721,81,DFB Pokal,2025,40,40,True,True,2026-05-23 18:00:00+00:00,1,2,True
1380868,88,Eredivisie,2025,42,42,True,True,2025-08-09 14:30:00+00:00,0,2,False
1546052,88,Eredivisie,2025,45,45,True,True,2026-05-24 10:15:00+00:00,1,2,True
1381914,89,Eerste Divisie,2025,43,41,True,True,2025-08-08 18:00:00+00:00,0,2,False
1544691,89,Eerste Divisie,2025,0,46,False,True,2026-05-16 18:00:00+00:00,1,2,True
1477433,90,KNVB Beker,2025,44,44,True,True,2025-10-28 17:45:00+00:00,0,2,False
1529695,90,KNVB Beker,2025,47,46,True,True,2026-04-19 16:00:00+00:00,1,2,True
1396240,94,Primeira Liga,2025,40,40,True,True,2025-08-08 19:15:00+00:00,0,2,False
1545404,94,Primeira Liga,2025,40,40,True,True,2026-05-28 19:00:00+00:00,1,2,True
1397975,95,Segunda Liga,2025,40,40,True,True,2025-08-09 10:00:00+00:00,0,2,False
1545427,95,Segunda Liga,2025,0,40,False,True,2026-05-30 19:30:00+00:00,1,2,True
1469281,96,Taça de Portugal,2025,0,0,False,False,2025-09-20 15:00:00+00:00,0,2,False
1542722,96,Taça de Portugal,2025,40,40,True,True,2026-05-24 16:15:00+00:00,1,2,True
1324146,98,J1 League,2025,40,40,True,True,2025-06-14 08:30:00+00:00,0,2,False
1324331,98,J1 League,2025,40,40,True,True,2025-12-06 05:00:00+00:00,1,2,True
1501295,98,J1 League,2026,40,40,True,True,2026-02-06 10:00:00+00:00,0,2,False
1546407,98,J1 League,2026,40,40,True,True,2026-06-06 10:00:00+00:00,1,2,True
1342258,103,Eliteserien,2025,38,38,True,True,2025-06-21 16:00:00+00:00,0,2,False
1342425,103,Eliteserien,2025,38,38,True,True,2025-11-30 16:00:00+00:00,1,2,True
1494596,103,Eliteserien,2026,40,40,True,True,2026-03-14 15:00:00+00:00,0,2,False
1494700,103,Eliteserien,2026,39,39,True,True,2026-07-17 17:15:00+00:00,1,2,True
1380386,106,Ekstraklasa,2025,42,42,True,True,2025-07-18 16:00:00+00:00,0,2,False
1380689,106,Ekstraklasa,2025,43,43,True,True,2026-05-23 15:30:00+00:00,1,2,True
1342044,113,Allsvenskan,2025,40,40,True,True,2025-06-28 13:00:00+00:00,0,2,False
1485785,113,Allsvenskan,2025,40,40,True,True,2025-11-29 14:00:00+00:00,1,2,True
1494118,113,Allsvenskan,2026,40,40,True,True,2026-04-04 13:00:00+00:00,0,2,False
1494215,113,Allsvenskan,2026,40,40,True,True,2026-07-17 17:00:00+00:00,1,2,True
1497516,114,Superettan,2026,31,40,True,True,2026-04-04 10:30:00+00:00,0,2,False
1497621,114,Superettan,2026,0,39,False,True,2026-06-28 13:00:00+00:00,1,2,True
