player_id,observations,majority_side,majority_share,accepted,source
5,40.0,R,1.0,True,grid:low_is_left
9,46.0,R,1.0,True,grid:low_is_left
17,14.0,R,0.8571428571428571,True,grid:low_is_left
20,29.0,R,1.0,True,grid:low_is_left
30,29.0,R,1.0,True,grid:low_is_left
33,21.0,L,0.8571428571428571,True,grid:low_is_left
44,25.0,R,1.0,True,grid:low_is_left
49,7.0,R,1.0,True,grid:low_is_left
69,11.0,R,1.0,True,grid:low_is_left
74,20.0,R,1.0,True,grid:low_is_left
78,53.0,R,1.0,True,grid:low_is_left
81,22.0,R,1.0,True,grid:low_is_left
130,35.0,R,0.9714285714285714,True,grid:low_is_left
153,11.0,R,1.0,True,grid:low_is_left
154,48.0,R,0.9791666666666666,True,grid:low_is_left
168,32.0,R,1.0,True,grid:low_is_left
184,51.0,R,1.0,True,grid:low_is_left
186,32.0,R,1.0,True,grid:low_is_left
207,22.0,L,0.5454545454545454,False,grid:low_is_left
217,21.0,R,1.0,True,grid:low_is_left
221,9.0,R,1.0,True,grid:low_is_left
225,34.0,R,0.9411764705882353,True,grid:low_is_left
226,26.0,R,1.0,True,grid:low_is_left
228,6.0,R,1.0,True,grid:low_is_left
241,18.0,R,0.9444444444444444,True,grid:low_is_left
242,27.0,R,1.0,True,grid:low_is_left
247,40.0,L,0.725,True,grid:low_is_left
249,33.0,R,1.0,True,grid:low_is_left
257,7.0,R,1.0,True,grid:low_is_left
264,30.0,R,1.0,True,grid:low_is_left
271,35.0,R,1.0,True,grid:low_is_left
272,3.0,R,1.0,True,grid:low_is_left
276,29.0,R,1.0,True,grid:low_is_left
278,42.0,R,0.9761904761904762,True,grid:low_is_left
280,40.0,R,1.0,True,grid:low_is_left
289,17.0,L,0.8823529411764706,True,grid:low_is_left
290,5.0,R,1.0,True,grid:low_is_left
292,24.0,R,1.0,True,grid:low_is_left
299,28.0,R,0.8214285714285714,True,grid:low_is_left
304,30.0,L,0.5333333333333333,False,grid:low_is_left
306,36.0,R,1.0,True,grid:low_is_left
313,34.0,R,1.0,True,grid:low_is_left
