fixture_id,team_id,team_name,player_id,player_name,position_group,classification_rule,role_source,role_share,precise_role_minutes,formation,minutes,provider_rating,shots,shots_on,goals,goals_conceded,assists,saves,passes,passes_accurate,key_passes,tackles,blocks,interceptions,duels,duels_won,dribbles_attempted,dribbles_completed,fouls_drawn,fouls_committed,yellow_cards,red_cards
1489369,16,Mexico,270774,Raúl Rangel,GK,"rol primario del torneo: GK, 100.0% de minutos con rol inicial preciso",rol inicial preciso consistente con rol primario,1.0,451.0,4-1-4-1,90.0,7.2,0.0,0.0,0.0,0.0,0.0,2.0,30.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1489369,16,Mexico,2873,César Montes,CB,"rol primario del torneo: CB, 100.0% de minutos con rol inicial preciso",rol inicial preciso consistente con rol primario,1.0,315.0,4-1-4-1,90.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,65.0,60.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0
1489369,16,Mexico,35544,Johan Vásquez,CB,"rol primario del torneo: CB, 100.0% de minutos con rol inicial preciso",rol inicial preciso consistente con rol primario,1.0,373.0,4-1-4-1,90.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,81.0,75.0,0.0,1.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1489369,16,Mexico,2881,Jesús Gallardo,FB,"rol primario del torneo: FB, 100.0% de minutos con rol inicial preciso",rol inicial preciso consistente con rol primario,1.0,373.0,4-1-4-1,90.0,6.9,1.0,0.0,0.0,0.0,0.0,0.0,45.0,34.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
1489369,16,Mexico,266345,Erik Lira,DM,"rol primario del torneo: DM, 74.9% de minutos con rol inicial preciso",rol inicial preciso consistente con rol primario,0.7493036211699164,359.0,4-1-4-1,76.0,7.5,0.0,0.0,0.0,0.0,1.0,0.0,45.0,42.0,1.0,2.0,0.0,1.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0
1489369,16,Mexico,2879,Roberto Alvarado,W,"rol primario del torneo: W, 100.0% de minutos con rol inicial preciso",rol inicial preciso consistente con rol primario,1.0,443.0,4-1-4-1,90.0,8.3,0.0,0.0,0.0,0.0,1.0,0.0,35.0,32.0,2.0,5.0,0.0,0.0,14.0,9.0,2.0,2.0,2.0,2.0,0.0,0.0
1489369,16,Mexico,750,Álvaro Fidalgo,AM,"rol primario del torneo: AM, 100.0% de minutos con rol inicial preciso",rol inicial preciso consistente con rol primario,1.0,66.0,4-1-4-1,66.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,34.0,30.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0
1489369,16,Mexico,35532,Julián Quiñones,W,"rol primario del torneo: W, 100.0% de minutos con rol inicial preciso",rol inicial preciso consistente con rol primario,1.0,414.0,4-1-4-1,79.0,8.7,4.0,2.0,1.0,0.0,0.0,0.0,33.0,28.0,2.0,0.0,0.0,0.0,10.0,7.0,6.0,5.0,2.0,1.0,0.0,0.0
1489369,16,Mexico,2887,Raúl Jiménez,ST,"rol primario del torneo: ST, 100.0% de minutos con rol inicial preciso",rol inicial preciso consistente con rol primario,1.0,333.0,4-1-4-1,76.0,7.7,3.0,2.0,1.0,0.0,0.0,0.0,19.0,15.0,2.0,1.0,0.0,0.0,10.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0
1489369,16,Mexico,482605,Gilberto Mora,AM,"rol primario del torneo: AM, 62.3% de minutos con rol inicial preciso",rol primario inferido para aparicion no titular,0.6230366492146597,191.0,4-1-2-3,24.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0
