world_id,outer_seed,inner_matches,synthetic_coordination,real_coordination,shared_tempo_sigma,ability_scale,shot_edge_scale,conversion_edge_scale,synthetic_win_probability,draw_probability,real_win_probability,mean_total_goals
0,725017161,80,0.929272609761955,0.959165823300827,0.1932605751296435,0.8095829289508956,0.927858936117464,0.7592622650319633,0.35,0.25,0.4,2.775
1,3010690006,80,0.9150533457410804,0.9881212227462984,0.1863587130411994,0.6968085606065854,1.0138083632136103,0.7500579058830493,0.2875,0.1875,0.525,3.05
2,3538199013,80,0.981810110681038,0.9812054198848904,0.2079282511730834,0.7247291878431819,0.863536974394718,0.8233938130053184,0.3375,0.2,0.4625,2.875
3,1108111915,80,0.9978978604589565,0.9136049256663744,0.1748118951855501,0.6682141425920343,0.9986862289000898,0.8253109704517485,0.325,0.2375,0.4375,3.4375
4,2443223768,80,0.9701233286600348,0.9613904179656262,0.2542274599690742,0.8472197607056627,0.9750578481579284,0.8897351775930646,0.3125,0.2625,0.425,3.0125
5,1824140492,80,1.0056632123682587,1.0196387007462482,0.1893782326225384,0.7722192907859419,0.9864164889548268,0.7337505363219502,0.25,0.2875,0.4625,3.0125
6,1177009516,80,0.9265875098556368,0.951896816406782,0.1740084974008533,0.7337074260856816,0.816832390151518,0.7610133190197045,0.25,0.3125,0.4375,3.05
7,2373962907,80,1.0195867498311693,1.0027872095264176,0.19064825934024,0.8813404817793485,0.8600023662595216,0.889569469315967,0.25,0.2125,0.5375,3.1625
8,1646904902,80,0.9600680456712972,1.0085380222472382,0.1879657653635441,0.7713473770223771,0.9938655477892836,0.7134149260203089,0.2,0.25,0.55,2.8375
9,2014159961,80,0.9431199932788026,0.9462899169526257,0.2828490020383629,0.7481021881776172,0.9873787825193204,0.9036608022475606,0.225,0.25,0.525,2.55
10,1048503718,80,0.9672494579007348,0.9540465558489774,0.2125609003029046,0.6627026912893691,0.8796648705269545,0.8071634270788002,0.2875,0.2625,0.45,3.0875
11,2677129096,80,0.9940428748313266,0.9512028317141554,0.208288588720885,0.8635415627491525,0.9953364578264888,0.7308156370155774,0.325,0.2875,0.3875,2.7625
12,2607688704,80,0.9263421471064964,0.9871752584071176,0.2400937243149088,0.8073714708372408,0.9552792168530012,0.802049056189761,0.1875,0.2375,0.575,2.825
13,3837832099,80,1.0024762965975986,0.9917625383777064,0.1623470119809762,0.8060838160216478,1.1766870975244894,0.755810122024345,0.3875,0.2375,0.375,2.95
14,70494617,80,0.9509159540301908,0.9942403760643512,0.1757954600716268,0.8158915885258049,0.9544167824777892,0.7075424025109476,0.2875,0.175,0.5375,3.4375
15,3028516100,80,0.9910305382340808,0.9737614419879196,0.2366361124819803,0.675449859651341,0.8683994861561272,0.6325518732089619,0.2875,0.225,0.4875,3.25
16,1855058519,80,0.9497253428187646,0.9832403906379684,0.2701659016210395,0.90453211720394,1.00107541241636,0.7098387883481543,0.3,0.25,0.45,3.3375
