slot,role_group,player_id,player_name,minutes,overall,conservative_score,provisional
GK,GK,182718,Joan García,4049.0,0.809506995311787,0.7361646068035925,True
CB1,CB,30776,Cristian Romero,3294.0,0.7265384743499747,0.6452241345449716,True
CB2,CB,69,Brandon Mechele,5270.0,0.7073087044532894,0.643021634801001,True
FB1,FB,271539,Jaouen Hadjam,1934.0,0.745403673407056,0.6392828275786413,True
FB2,FB,263482,Nuno Mendes,3391.0,0.7103090167412799,0.6301661187091786,True
DM,DM,138908,Elliot Anderson,4793.0,0.7192520920032294,0.6518419529167487,True
CM,CM,133609,Pedri,3539.0,0.7498726700561549,0.6714234452651964,True
AM,AM,19617,Michael Olise,4569.0,0.8102143473077419,0.7411715531901322,True
W1,W,513776,Yan Diomande,3400.0,0.7845734829412211,0.7045367266792312,True
W2,W,583,João Félix,3478.0,0.7638941735890096,0.6847599858666668,True
ST,ST,154,Lionel Messi,3834.0,0.8239977081074512,0.7486269500264228,True
