avatar_id,position_group,tier,members_n,uncertainty,overall,build_up,progression,creation,finishing,defending,duels,retention,goalkeeping
SYN-GK-MEAN20,GK,mean20,20,0.07917710451000216,0.7946440621670974,0.3800549054939111,0.3090125316105833,0.3109412984637465,0.3168013406328847,0.21341480778055197,0.17010280253906707,0.7921168242671439,0.9996646498695336
SYN-GK-TOP5,GK,top5,20,0.07917710451000216,0.8059373373367074,0.4118815594161382,0.30625078797719346,0.31306849637534534,0.3168013406328847,0.21724753626952364,0.16257299739384454,0.8249697868349074,0.9996646498695336
SYN-GK-P90,GK,p90,20,0.07917710451000216,0.8061328689785392,0.409850044242749,0.3155822868171161,0.3185221798009104,0.3168013406328847,0.22098544327598607,0.19454145943349335,0.8289820180116392,0.9996646498695336
SYN-GK-MAX20,GK,max20,20,0.07917710451000216,0.8199937612171774,0.4398005162353879,0.3180313383935857,0.33531049987738176,0.3168013406328847,0.22883499355339215,0.20278793112153792,0.881454003612375,0.9996646498695336
SYN-CB-MEAN20,CB,mean20,20,0.08951369462675544,0.6864673881532994,0.7227978952978826,0.385213828776227,0.39227283175320515,0.4522242628683474,0.6642688271965458,0.6487745928937515,0.7302474499473364,0.635745440765503
SYN-CB-TOP5,CB,top5,20,0.08951369462675544,0.7201323546449874,0.6976350051295597,0.38424420163911005,0.39038749994061916,0.4490734471880334,0.6869180621353472,0.7160481940349965,0.8047882225153522,0.6420749209057355
SYN-CB-P90,CB,p90,20,0.08951369462675544,0.7921659338887758,0.8301954735261661,0.4500810018349298,0.4486055437939542,0.5523309569233119,0.7496241307969118,0.7725653390603213,0.8450281589247899,0.719891822359438
SYN-CB-MAX20,CB,max20,20,0.08951369462675544,0.8604165138674646,0.875326282670185,0.5665137504306769,0.5213708196669329,0.5923933239512441,0.8309713040271163,0.8651740912842686,0.8866533926500421,0.7455960197794145
SYN-FB-MEAN20,FB,mean20,20,0.08870021097689543,0.6580375044586597,0.6421053006760953,0.6741916560790859,0.6846116861233056,0.4767567510471645,0.6420532309558353,0.6371648023024261,0.5568127218985282,0.5338415088239137
SYN-FB-TOP5,FB,top5,20,0.08870021097689543,0.7179110856805897,0.6447219402940794,0.7831993041691746,0.6506875853097992,0.5132455774964887,0.6946071274934006,0.8044856989712468,0.5907821131673054,0.5487292303431113
SYN-FB-P90,FB,p90,20,0.08870021097689543,0.7847030315371263,0.7652695957520829,0.7837780756094728,0.8401519618398839,0.6142265977726155,0.7333577368029972,0.8209327707375752,0.6496008215233329,0.669878335048913
SYN-FB-MAX20,FB,max20,20,0.08870021097689543,0.8614425056686592,0.9158853242759897,0.8269484253642417,0.9132895643045065,0.7141118972942444,0.8158052841654214,0.8654878864699246,0.6945745381092188,0.6798832562606355
SYN-DM-MEAN20,DM,mean20,20,0.08860914112053941,0.6341157214678036,0.6888418084972197,0.5213638899152745,0.533482902182589,0.4684314491122541,0.6511331993149504,0.6191835800201677,0.6255262916064899,0.5941643761130271
SYN-DM-TOP5,DM,top5,20,0.08860914112053941,0.7053235090901381,0.7947079883606395,0.6317759781683604,0.6662556074228485,0.4670097238586278,0.6953088530015596,0.7200344980489798,0.6369998586028436,0.6077056321933451
SYN-DM-P90,DM,p90,20,0.08860914112053941,0.7820564240274166,0.8856263136318084,0.6700109993734289,0.7290014832982269,0.5432824627406634,0.7720025057194334,0.7664347915264914,0.7464481839501316,0.6607939974959761
SYN-DM-MAX20,DM,max20,20,0.08860914112053941,0.8273724740380107,0.9190686894652977,0.7763265370656408,0.8274489908906137,0.6002180391865112,0.8449595933632744,0.7886545232070904,0.7562420235285728,0.732130467237438
SYN-CM-MEAN20,CM,mean20,20,0.08606128853313744,0.6551141198696455,0.7484732297891064,0.6283895150546902,0.6930701587143833,0.5530466787020181,0.6134862354812025,0.5659438166902404,0.609214284265229,0.6109197370584938
SYN-CM-TOP5,CM,top5,20,0.08606128853313744,0.6953362637498224,0.7902962515032521,0.7116361686757869,0.7436525125789072,0.5989270797713558,0.5566849518277557,0.6289539423173547,0.6442422056419959,0.6145065821472823
SYN-CM-P90,CM,p90,20,0.08606128853313744,0.7757832389091893,0.8616913256909651,0.7578802331224889,0.793922313124227,0.7319817977863605,0.7482106508718965,0.7790240534415482,0.6954658718076315,0.7067867190137662
SYN-CM-MAX20,CM,max20,20,0.08606128853313744,0.8757461542152468,0.9339725618711161,0.9008101986333449,0.9110067812281852,0.8133347544810972,0.8373776204783263,0.8825823244100914,0.7754580830370204,0.7289826333276763
SYN-AM-MEAN20,AM,mean20,20,0.09250985283896976,0.7165606014613879,0.6143081292341794,0.7884222727149512,0.804655529071312,0.7075996703563554,0.44463731558750674,0.559520884080346,0.5056037815886516,0.4581020409500569
SYN-AM-TOP5,AM,top5,20,0.09250985283896976,0.7749980723892942,0.6916777281134795,0.8218304046880123,0.8952989403019231,0.7699332588136336,0.3889821538359959,0.46458993436593266,0.5158208866374705,0.43019518116899674
SYN-AM-P90,AM,p90,20,0.09250985283896976,0.8265303517133588,0.738272715821017,0.883169978637609,0.9146910784998258,0.8690498420699563,0.5207888672243746,0.8231523487222466,0.5702480844664911,0.5174004739126296
SYN-AM-MAX20,AM,max20,20,0.09250985283896976,0.8875738001868856,0.7786542814471658,0.9819613700849021,0.9596028126632891,0.9335117030940259,0.6376092707632491,0.9264400494594341,0.6179644534307485,0.5825301943472141
SYN-W-MEAN20,W,mean20,20,0.08517916453381315,0.7697124202740803,0.5669902677862677,0.8705587402000655,0.8326668826870918,0.7900125649480705,0.36869987298549245,0.6663682729626651,0.5140717539566779,0.4624473001326823
SYN-W-TOP5,W,top5,20,0.08517916453381315,0.8129289235433071,0.6246295576704516,0.9249409034424421,0.8844913656400692,0.7905499974722673,0.39500361887480884,0.7522647549562766,0.5505019814937924,0.48817505037075637
SYN-W-P90,W,p90,20,0.08517916453381315,0.8633323216574301,0.737296541076114,0.9492559292266959,0.9181960405963344,0.8713874962447972,0.4978625524271871,0.8285394601077938,0.6123787746981483,0.5736206863142379
SYN-W-MAX20,W,max20,20,0.08517916453381315,0.920560244161681,0.8047495300230183,0.9769842348110811,0.9486609886374803,0.9708966658874963,0.5819248803916547,0.9265903477075449,0.673247717569232,0.6652184028435187
SYN-ST-MEAN20,ST,mean20,20,0.0906994525923403,0.711155001324259,0.3815968211105353,0.6861882985795851,0.6531179973051432,0.8579570629862077,0.36345590317418247,0.6292536976201746,0.4262248038037778,0.32895027319471104
SYN-ST-TOP5,ST,top5,20,0.0906994525923403,0.7505364453762366,0.43866229336461215,0.7249414760431144,0.6967065136034264,0.9318492689459464,0.29520615275567863,0.5684534274357951,0.4828813667428008,0.37880966786690407
SYN-ST-P90,ST,p90,20,0.0906994525923403,0.8458553470005244,0.5425314630894859,0.8086474551384916,0.8250972448242803,0.9539695267048558,0.5006561661079394,0.8453498053076706,0.5564030449962469,0.4612769981720085
SYN-ST-MAX20,ST,max20,20,0.0906994525923403,0.9190274321653285,0.6830678712388623,0.9228593114924327,0.9614332332493464,0.9909409097528855,0.5263161153086727,0.9379922223653474,0.6289980462805905,0.5331326384177729
